3:13 AM - 7 Dec 2015|Congrats @iamsrk 2015 Golden Tweet #YearOnTwitter India 18 million views Twitter https twitter com iamsrk status 589164454480191488|2.8K|3.7K
9:31 AM - 9 Dec 2015|Now #SalmanKaidi343 trend coz bjaitards humne unke trend start nhi kia tha r trending us RT SPREAD|27|3
9:32 AM - 9 Dec 2015|1 tag neural ppl trending Trend dis srkians #SalmanKaidi343|16|0
9:32 AM - 9 Dec 2015|#SalmanKaidi343 salGay pic twitter com ouDalQ2l0O|28|2
9:33 AM - 9 Dec 2015|#SalmanKaidi343 TAG IN EVERY TWEET http twitter com SRKswarrior1 status 674642702886137857 photo 1pic twitter com vFgfxpgziL https twitter com SRKian__ status 674642826391490560|14|1
9:33 AM - 9 Dec 2015|#SalmanKaidi343 Tweet first|20|0
9:33 AM - 9 Dec 2015|I Am Loving It #SalmanKaidi343|25|0
9:34 AM - 9 Dec 2015|#SalmanKaidi343 Most wanted Criminal|24|3
9:34 AM - 9 Dec 2015|Motherchod #SalmanKaidi343|15|0
9:34 AM - 9 Dec 2015|THIS IS WHY PEOPLE TROLL BHAITARDS #SalmanKaidi343 pic twitter com K13RmgoQ1y|32|2
9:35 AM - 9 Dec 2015|RT think bhaitards illiterate people world okay I know outside India bhaitard xD #SalmanKaidi343|54|8
9:41 AM - 9 Dec 2015|Kills poor wears Human Being #SalmanKaidi343|25|1
9:45 AM - 9 Dec 2015|Salman free outside still India Money speaks truth #SalmanKaidi343 @BeingSalmanKhan Hate _ _|50|6
10:04 AM - 9 Dec 2015|#SalmanKaidi343 @BeingSalmanKhan ricksawla fans pic twitter com gZzMZXg9gz|50|9
10:11 AM - 9 Dec 2015|Some preach trend anything salgay cries trends SRK #SalmanKaidi343|33|2
10:10 AM - 9 Dec 2015|#SalmanKaidi343 trend reaction bhaitards negative trend srkians|14|1
10:11 AM - 9 Dec 2015|#SalmanKaidi343 probably tomorrow|14|0
10:11 AM - 9 Dec 2015|Breaking - Salgay Shera Married #Salmankaidi343|14|1
10:11 AM - 9 Dec 2015|#SalmanKaidi343 REAL SRK fan stop tweeting If love king keep tweeting|13|0
10:12 AM - 9 Dec 2015|Now see srkians #SalmanKaidi343|11|1
10:13 AM - 9 Dec 2015|SRK gave hit DDLJ 1995 still running Virgin @beingsalmankhan gave hit 2002 vl run till death #SalmanKaidi343|30|3
10:13 AM - 9 Dec 2015|Fed always remained silent #SalmanKaidi343|19|1
10:13 AM - 9 Dec 2015|Sry fast #SalmanKaidi343|7|0
10:14 AM - 9 Dec 2015|Write whatever came ur head We need bring 1 #SalmanKaidi343|14|0
10:15 AM - 9 Dec 2015|Only actor 50 solo flops even cases Of flops @beingsalmankhan #SalmanKaidi343|15|1
12:01 AM - 8 Dec 2015|Just Pune Rajkot bases two new IPL franchises|148|71
6:00 AM - 7 Dec 2015|@pmreddy21 @ibnlive U donated anything Biggest Star Of South Rajnikanth donated 10 lakhs SRK dont even live|49|27
5:05 AM - 7 Dec 2015|We forced speak charitable works Not fault #SRKStandsByChennai|69|14
6:32 AM - 7 Dec 2015|Being Human donates pennies wth stylish pose infront camera SRK neither held press meet invited photographers #SRKStandsByChennai|31|8
11:32 AM - 7 Dec 2015|@SalmanKhanTimes Height stupidity Salman already rich dad 'Salim Khan' whereas SRK poor #SRKStandsByChennai|5|3
11:51 AM - 7 Dec 2015|@iamsrk Always Proud Forever Inspiring Universe Sud Know You R Not Only The King But Also Knight Shining Armor #SRKStandsByChennai|5|6
12:02 PM - 7 Dec 2015|The tweet guys added pic kindly don't forget pin profile couple days #SRKStandsByChennai|2|1
12:07 PM - 7 Dec 2015|Never realised many SRK haters Twitter bloody IDIOTS tweeting crap #SRKStandsByChennai|4|2
1:48 AM - 7 Dec 2015|@noconversion @iamsrk see commenting think Aunty http timesofindia indiatimes com entertainment bollywood news-interviews Shah-Rukh-Khan-does-his-bit articleshow 981182 cms referral PM|8|6
6:17 AM - 7 Dec 2015|Srk team dilwala donate 1 cr rs chennai flood pic twitter com fUJaRcaZgZ|6|0
11:47 AM - 7 Dec 2015|@Shafeekh1729 @iam_sanad Respect Everyone contributed Even Single Penny fr useful needs|1|0
8:54 AM - 7 Dec 2015|Being Human salgay khan Donated 1000 Cr audiences donated Bajrangi bhaijaan prem ratan dhan payo HATS OFF CRIMINAL|8|4
10:43 AM - 7 Dec 2015|charity done purpose charity Being Human|1|0
5:09 AM - 7 Dec 2015|Here's final 4 battle lift @IndSuperLeague cup Who rooting #ForcaGoa pic twitter com GdXChgdygO|17|32
12:30 AM - 7 Dec 2015|Thankkk SVKM #Hashtag sooo much love We love u @Varun_dvn @varunsharma90 pic twitter com xycDaUb57i|550|1.4K
11:12 PM - 6 Dec 2015|It pleasure All best film https twitter com sonamakapoor status 673751353475268609|2.2K|4.9K
7:30 AM - 5 Dec 2015|D Delhi D dapper D Don miss Dilwale logo phone cover Damn I marketing genius ha ha pic twitter com 7P1oig8lQ4|6.6K|17K
10:46 PM - 30 Nov 2015|Congrats @leomoura2 becoming 1st player 8 assists @IndSuperLeague You make us proud #ForcaGoa pic twitter com 7JQPSy1ZMc|26|47
3:35 AM - 29 Nov 2015|#DilwaleOnBiggBoss use tag|7|2
3:44 AM - 29 Nov 2015|ANNOUNCEMENT New tag trending #DilwaleOnBiggBoss please note use new tag|121|87
3:47 AM - 29 Nov 2015|Exclusive pictures #DilwaleOnBiggBoss pic twitter com OnVlsJpveC|166|205
3:54 AM - 29 Nov 2015|RT show us excited #DilwaleOnBiggBoss pic twitter com PM7tP7Wekt|19|8
4:01 AM - 29 Nov 2015|SRK IS GOD OF ACTING #DilwaleOnBiggBoss pic twitter com Ll3nTKlJz5|29|32
4:04 AM - 29 Nov 2015|WATTTEYYYYY POSTERRRRR ____ #DilwaleOnBiggBoss pic twitter com acOVDxgkSX|46|28
6:29 AM - 25 Nov 2015|Missing time spent home Diwali Miss family even festival @surilieggautam #HappyGurpurab pic twitter com Mm51HLlrm6|122|884
8:25 PM - 25 Nov 2015|@Varun_dvn @kritisanon gonna set screen ablaze #ManmaEmotion today Get ready pic twitter com PSiQa0e1BQ|468|664
7:21 PM - 25 Nov 2015|#ManmaEmotion today can't wait @kritisanon pic twitter com vtOHUapQ2I|997|2.4K
7:11 PM - 25 Nov 2015|#ManmaEmotion today Yayyy Super excited u see finally #Dilwale18Dec pic twitter com moDia5QtrD|883|1.8K
10:37 PM - 25 Nov 2015|Done another schedule The I portray front camera I admire #MSDhoni pic twitter com AXMx6vcpqd|481|1.2K
4:17 AM - 23 Nov 2015|Please help support DILWALE add #Twibbon http twibbon com support dilwale twitter|1|0
3:30 AM - 22 Nov 2015|RT true @FCGoaOfficial fan #GOA #ForcaGoa|24|6
9:59 PM - 18 Nov 2015|@iamsrk euphoria #Gerua Some memories stunning Iceland location Ho toh aisi Ho pic twitter com eJE9xZdez2|681|1.2K
9:31 PM - 17 Nov 2015|#Gerua song launch today #CantWait pic twitter com WBKhkdQA8C|419|437
10:11 PM - 17 Nov 2015|excited #Gerua|594|929
1:46 AM - 18 Nov 2015|The pair embodiment romance Can't wait #Gerua today @ipritamofficial @TheArijitSingh pic twitter com mXOO92Ujx6|326|341
5:16 AM - 18 Nov 2015|Love everywhere The stage set #Gerua Song Launch #DilwaleMusic pic twitter com nWlNTH6Z8L|321|294
