11:02 AM - 23 Apr 2015|Have you voted for Write-In Tatiana Cadet yet? Todays the last day! #ReclaimYourVote
10:21 AM - 1 Apr 2015|Election Week is April 13-16!!! @Syracuse_SAS. @kalabashment @CUSE_ALPHAS @SUNANBPWC @SyracuseCSA @4thQtrCurls pic.twitter.com/QNIsy6ZQtx
6:53 PM - 31 Mar 2015|Left Take Back the Night feeling empowered
6:44 PM - 31 Mar 2015|lil Kim for Mayfest please
6:30 PM - 31 Mar 2015|The only way I can afford these Mayfest tickets is if I win them. Y'all having competitions?
6:25 PM - 31 Mar 2015|How loud will the audience be when @50cent sings 21 Questions? #BP15
3:01 PM - 31 Mar 2015|Take Back the Night is in an hour! Join @SyracuseOHP for the amazing annual Rally, March & SpeakOut  #TatiFati4SA hopes you'll be attending!
2:57 PM - 31 Mar 2015|Getting ready for @CitrusTV SA Today! Vote for Tatiana Cadet for SA PRESIDENT! pic.twitter.com/0kaKxDBobG
2:28 PM - 31 Mar 2015|90 minutes!! pic.twitter.com/Mb2v4o7NYt
12:16 PM - 31 Mar 2015|On the 20th anniversary of her death, we remember the impact #SelenaQuintanilla had and how she changed the game pic.twitter.com/yl813Aqxr2
12:00 PM - 31 Mar 2015|Make sure you save the date! #Elections for SA will beg April 13th-17th! Mark Your Calendars! Vote Tatiana Cadet #TatiFati4SA
11:01 AM - 31 Mar 2015|Don't forget Take Back The Night is tonight 7pm @HendricksChapel! #TatiFati4SA hopes you will take a stand against violence. #TBTN2015
10:34 AM - 31 Mar 2015|We are excited about Take Back the Night tonight! Hope to see you there! 7pm at Hendricks Chapel! #TheresNoExcuseForAbuse #TatiFati4SA
9:01 AM - 31 Mar 2015|Meet Fatima Bagura, the VP Candidate for SA. There's no Tati without Fati #TatiFati4SA #YourChoiceOurVoice
6:31 AM - 31 Mar 2015|We're just regular students like you that want to see change for the better on a campus that we care so much about. #TatiFati4SA 2015
12:13 PM - 29 Mar 2015|#AddamsFYP takes to the @SyracuseU @DunkinDonuts ft. Grandma Addams & @ErinTheMiller! Come April 9,10,11 in Goldstein pic.twitter.com/gTYBwnH9zm
5:31 AM - 31 Mar 2015|Vote Tatiana Cadet for SA 2015 President #TatiFati4SA
2:11 AM - 31 Mar 2015|Day 1 of campaigning. Sleepy heads
10:17 PM - 30 Mar 2015|A new ticket has emerged for @SAatSU President and Vice President. @TatiFati4SA
5:47 PM - 30 Mar 2015|Write in candidate Fatima Bangura in attendance at the Black Artist League meeting. Follow @TatiFati4SA pic.twitter.com/TMbAlJRtcO
11:28 PM - 30 Mar 2015|Rest for now, but tomorrow will be more talk about how #TatiFati4SA will be moving forward with this campaign.
5:20 PM - 30 Mar 2015|Come out to the Black Artist League General Body Meeting happening now! #IAmaBlackArtist #BALGBM #TatiFati4SA pic.twitter.com/7rs8BXZNd5
5:18 PM - 30 Mar 2015|At the #BALGBM Hall of Languages 500! pic.twitter.com/vFXtgfdYYl
9:46 AM - 24 Mar 2015|SU Law students, please take advantage of interdisciplinary studies on campus. I studied at the @AfricanAASU. #WorkingOrangeLaw
3:37 PM - 30 Mar 2015|Happening now!!! pic.twitter.com/3gUk7wqrCq
1:56 PM - 30 Mar 2015|Be there tonight! @blackvoiceSU @THEgeneralbody pic.twitter.com/trRsTA1fkB
1:47 PM - 30 Mar 2015|First of many supporters advocating for #TatiFati4SA pic.twitter.com/3QnHW3KGDJ
1:44 PM - 30 Mar 2015|We care about the university and want to share our concern with you! Follow us to get updates on our campaign and platform!
11:06 AM - 30 Mar 2015|@TatiFati4SA Support these two candidates who actually know and care about the student body!!! #TatiFati4SA
7:16 AM - 30 Mar 2015|ELECTION WEEK IS APRIL 13-17!!!
7:15 AM - 30 Mar 2015|SAVE THE DATES!
7:15 AM - 30 Mar 2015|They thought it was over, but we're just getting started. #TatiFati4SA
12:10 AM - 30 Mar 2015|Your choice. Our Voice. #TatiFati4SA
