7:10 AM - 19 Nov 2015|Shout out to my laptop for being the absolute worst
1:55 PM - 24 Oct 2014|Boy 1: I didn't put deodorant on Boy 2: You don't need it. Its cold out. #BoyLogic #OverheardOnCampus
1:50 PM - 23 Oct 2014|Its days like today that I wish I had my full size bed and the ability to close the door and be by myself #DormLife
6:58 AM - 23 Oct 2014|I don't know what I've done to have Twitter suggest that I follow the entire cast of @RuPaulsDragRace's individual accounts.
4:21 PM - 22 Oct 2014|Saw a group of people setting around a tub of ice cream of ice cream in @NewhouseSU 1. #noshame
2:05 PM - 22 Oct 2014|I spend more time contemplating my @Bravotv's Real Housewife tag-line than just about anything else.
10:42 AM - 22 Oct 2014|Says, ugh! I'm so busy!!! as I online shop for unnecessary vintage online blanket coats for myself.
9:49 AM - 22 Oct 2014|My Spanish teacher interrupted our oral interview to tell me she knows that I'm a good person by just looking at me. #DayMade
8:00 AM - 22 Oct 2014|If @erbreslin sees me today, she is gonna schvitz. #blutfit #SoMuchBlue
8:07 AM - 21 Oct 2014|Is it strange that I find it easier to focus on sunny days then on overcast days?
7:49 AM - 20 Oct 2014|I'm very anti-Taylor Swift, but her new single Out Of The Woods is too good to not like!
2:59 PM - 18 Oct 2014|Thank you, #CityofDumplings! #PGHPierogiFest pic.twitter.com/p6MIriCzZt
10:26 AM - 18 Oct 2014|Pierogi Grilled Cheese by @OhMyGrill is to die for. @PghPierogiFest #PghPierogiFest #CityofDumplings pic.twitter.com/x2rrNQMoOE
5:08 AM - 18 Oct 2014|Gearing up for a fun day at #PghPierogiFest! Carbs on carbs on carbs. #CityofDumplings
9:07 AM - 15 Oct 2014|Currently watching a news story about rapid bats in Onondaga County. Syracuse--hide ya kids, hide ya wives!
12:49 PM - 14 Oct 2014|4 more days till @PghPierogiFest! #CityOfDumplings #LovePgh pic.twitter.com/ek9dERF7W8
12:33 PM - 14 Oct 2014|Curious to why I haven't been asked to be the spokesperson for the @DunkinDonuts iced coffee + @Sabra  hummus diet???
4:24 PM - 13 Oct 2014|Getting the creative juices flowin' at @SUPRSSA special events meeting #PRSSAFormal2014
1:49 PM - 13 Oct 2014|Procrastinating and procrastinating... #Midterms2014
9:31 AM - 13 Oct 2014|I got an iced coffee and enjoyed the wonderful weather. Thx 4 asking Sonja RT@SonjatMorgan: How's everyone day gone so far? #RHONY
9:30 AM - 13 Oct 2014|There are 3 midterms keeping me away from home and @PghPierogiFest! Can't wait to be back in the #CityOfDumplings
10:59 AM - 5 Oct 2014|Jerk's #AdoptAStreet brought us: candy wrappers, empty bottles of Fire Ball, and firework shrapnel. pic.twitter.com/OEa2QJPJqe
9:59 AM - 3 Oct 2014|I mean carb-eater is in my bio. I can't simply just give up carbs! pic.twitter.com/L2rfiNMS54
6:47 AM - 2 Oct 2014|One fish, two fish, red fish, blue fish. #WorldPoetryDay
10:11 AM - 29 Sep 2014|C'mon Kent, the only reason people are awake is because they think there's salt water taffy and a copy of Eat, Pray, Love under their seats.
9:53 AM - 29 Sep 2014|I shriek every time Oprah moves. This is not okay.
9:16 AM - 29 Sep 2014|For all you peasants who didn't score the hottest ticket in town, don't worry. We're live tweeting the whole thing #OprahDay #NewhouseStudio
9:19 AM - 29 Sep 2014|Waiting in line to see @Oprah at the #NewhouseStudio ceremony!! See you soon, girlfriend! xoxo
12:20 PM - 26 Sep 2014|I don't know where the time goes on Fridays. Then I realize that I slept in 'til 1pm #Oops
8:02 AM - 20 Sep 2014|As much as I would love to go to the Syracuse Football Game, I've got priorities and work that has to be done.
5:37 AM - 16 Sep 2014|Sitting back with some coffee and a nice view of @SyracuseU's #HallOfLanguages to calm my pre-test jitters. pic.twitter.com/AuS2ioubKI
9:07 AM - 15 Sep 2014|Join us for our 3rd Annual BE-BQ on the Quad Friday, September 19th from 5:00 p.m. to 8:00 p.m. #BEWISESU pic.twitter.com/kU9mvloyld
6:52 AM - 10 Sep 2014|Will we get @Oprah tickets?! Been waiting since 8am! Box office opens at 11am. pic.twitter.com/KXiCGwyv6N
6:45 AM - 10 Sep 2014|The line for @Oprah tickets at @SyracuseU is something serious. #OprahAtSU #newhouse50 pic.twitter.com/sy4m0JE30u
1:33 PM - 9 Sep 2014|I'm absolutely okay that only show I've live streamed during #NYFW was the #MarcJacobs show. #marcjacobslive
12:13 PM - 9 Sep 2014|In class + working until 9:15pm tonight. Can someone give me the low down on #Apple's #iPhone6 + #iPhone6Plus #iOS8
12:22 PM - 4 Sep 2014|I succeeded by saying what everyone else is thinking. - Joan Rivers. Such a sharp tongue. You will be missed greatly. #RIPJoanRivers
12:14 PM - 4 Sep 2014|Just heard the news of Joan River's death. Such a shock. She will be missed by many. #RIPJoanRivers
6:44 PM - 31 Aug 2014|My roommate is domestic. #pizza #pizzanight @EvanGinsburg pic.twitter.com/89J4WVsIjl
7:58 PM - 24 Aug 2014|RT if you agree that @Beyonce is making #VMAs history right now.
3:56 PM - 22 Aug 2014|Unexpected run-ins with @erbreslin! Made my day 10x better! pic.twitter.com/B5EUuo5nBu
4:29 AM - 20 Aug 2014|Thank you @Lawrinson_Hall for the incredible clipboard! #SUWelcome pic.twitter.com/6t8u8zteuZ
3:23 PM - 17 Aug 2014|All of SU waiting for @UUInsider's #JuiceJam2014 announcement like... pic.twitter.com/ds7RdQnYan
5:07 PM - 12 Aug 2014|Kristen has the best facial expressions reactions. #RHONY
11:13 AM - 12 Aug 2014|This news about #RobinWilliams Williams is terribly sad. Such a sad story about a man who brought joy to so many people #NBC7
11:04 AM - 12 Aug 2014|Just found out that I have social psych with @erbreslin and I'm screaming on the inside.
11:31 AM - 11 Aug 2014|I'm supposed to be back at @SyracuseU in less than 3 days and I haven't started packing yet. #oops
6:47 AM - 6 Aug 2014|There is really nothing worse than when people are surprised at how much you weigh #NeedToLoseWeight
12:56 PM - 5 Aug 2014|Its official. @bchou1234 is the 8th wonder of the world.
11:52 AM - 4 Aug 2014|Turn down for what? pic.twitter.com/6WfQw1U2D4
6:52 PM - 22 Jul 2014|Aviva obviously had their whole speech, x-ray, leg-throw pre-planned. Beyond psycho #RHONY
6:45 PM - 22 Jul 2014|I literally live for @SonjatMorgan. This speech is everything #RHONY
5:52 PM - 22 Jul 2014|Get the Pinot ready, its #RHONY Finale time! pic.twitter.com/I9yS4NXYxp
11:32 AM - 22 Jul 2014|Beyond loving this photo of @JBertocchi, @patrishh_mariee, and I from the @waterfrontpgh's charity car wash! pic.twitter.com/z4CXjnAyUY
11:07 AM - 22 Jul 2014|SPREAD THE WORD BUY TICKETS! @CarrieFurnaces @waterfrontpgh @thefoodtasters @BigBenzaBurgh @YaJagoff @PittMommyBlog pic.twitter.com/i1YKJ7rhNR
10:28 AM - 21 Jul 2014|Beyond impressed with @ChickfilA! They had employees who took my order via iPad while I was waiting in line! #customerservice
5:30 AM - 19 Jul 2014|Today's Summer Music + Marketplace has been POSTPONED due to weather. We'll have a Rain Date to share soon! In the meantime enjoy ur wkend!
7:22 PM - 18 Jul 2014|Teenage girls from Morgantown...someone bad obviously happened because of them #ABC2020
11:55 AM - 18 Jul 2014|The Painters Run Road location will be open Monday morning, July 21st!  Bob and the staff look forward to seeing you there!
11:12 AM - 17 Jul 2014|Enjoying some @Starbucks before the #FarmersMarket at @waterfrontpgh 3-7pm in Town Center pic.twitter.com/uw0DM6VxN5
5:11 PM - 15 Jul 2014|With @pghartcar @DJDPGH in @DBPgh lot @waterfrontpgh till 9p. Come get your car washed for $8 for @BevBirthdays! pic.twitter.com/RpWuXvYjW2
3:31 PM - 15 Jul 2014|Want a free @BurgatoryBar milkshake? Stop down to @waterfrontpgh's charity car wash near @DBPgh and get one, plus other goodies #pgh
11:12 AM - 15 Jul 2014|After a not-so-awful bus ride, 3 melatonin, and a nap I am back in #pgh and back to daily grind.
10:33 PM - 10 Jul 2014|Tweeting to you live from a crowded @megabus, with no A/C, in the middle of nowhere. Completely unacceptable.
10:30 PM - 10 Jul 2014|After getting kicked out of my seat to make room for an inanimate object, the @megabus has broken down in the middle of nowhere.
6:32 PM - 10 Jul 2014|You know its a good season whenever the house isn't voting together this early in the season! #BB16
6:31 PM - 10 Jul 2014|What was Donnie thinking?! #BB16
10:59 AM - 10 Jul 2014|Stop down at the @waterfrontpgh's weekly #FarmersMarket in Town Center from 3pm-7pm! Its gonna be yummy!
6:37 PM - 9 Jul 2014|Packing to go visit @rachhmillerr and realizing that I only own 3 colors of clothes: black, white, and grey.
5:47 PM - 9 Jul 2014|.@aidanmmeyer I think we should start a countdown to when we move to NYC together to be all successful and stuff
5:51 PM - 9 Jul 2014|.@erbreslin I'm literally getting teary-eyed, because I would be happier than a piglet in sunshine. #EllieAndAidanTakeNYC!
11:05 AM - 8 Jul 2014|Love that they are wearing their bouji-ness with pride! pic.twitter.com/w0otHjKNzT
5:26 PM - 7 Jul 2014|Really hoping for a @kenbakernow vs. Ann Curry feud. Paris Hilton vs. Nicole Richie style. #LiveFromE
5:03 PM - 4 Jul 2014|Whether its a @Pirates game or the #4thofJuly, there is no stopping this girl from using @Tinder pic.twitter.com/hvSa2akrUE
5:46 PM - 3 Jul 2014|Not your typical athletic guy, but in hopes of being more active, I bought myself some new tennis shoes. pic.twitter.com/nAr8WMF1oV
12:48 PM - 3 Jul 2014|Apples, cherries, and peaches, oh my! Stop down at our weekly #FarmersMarket 3pm-7pm for these treats and more! pic.twitter.com/GfqJe8xFCu
7:34 PM - 1 Jul 2014|Just a priest and his Louis. pic.twitter.com/EWCjTIJTAc
5:54 PM - 29 Jun 2014|So much drink throwing you would think this was an episode of The Real Housewives! #BB16
5:46 PM - 29 Jun 2014|As a member of #TeamAmerica, I would like to nominate Devin for eviction. #BB16
5:46 PM - 29 Jun 2014|DEVIN #BB16 pic.twitter.com/nzfNl06hwJ
5:16 PM - 29 Jun 2014|Jocasta is basically #BB8's Jameka in a bow tie. God is my alliance #BB16
6:07 PM - 28 Jun 2014|50 flooded in Carnegie, road is closed. Cars are surrounded by water. @wpxi pic.twitter.com/U2L5Eoebd6
3:34 AM - 28 Jun 2014|Rosslyn Farms/Thornburg #YardSale/#GarageSale TODAY 242 Tech Rd in Thornburg 8am-2pm #pgh #pittsburgh #happeninginpgh
11:51 AM - 25 Jun 2014|Don't forget our Weekly Farmer's Market is now in Town Center TOMORROW from 3-7PM. #organic #foods #pgh
5:57 PM - 25 Jun 2014|Thanks @CBSBigBrother for the anxiety attack. #bb16
4:49 PM - 25 Jun 2014|I cannot wait for @CBSBigBrother to start! #BB16
8:15 PM - 24 Jun 2014|Dear @SonjatMorgan, what does it take to be 1 of your interns? I got u on which real housewife are you quiz, so I think its a match @Andy
8:08 PM - 24 Jun 2014|.@SonjatMorgan would you ever consider having your facialist as one f your interns next season? @Andy #WWHL
8:06 PM - 24 Jun 2014|Hey @Andy! This is for @SonjatMorgan. Are you attracted to John Oliver? #WWHL
7:38 PM - 24 Jun 2014|Thank God @Bravotv decided to make @ThePeoplesCouch an hour long! 30 more minutes of belly laughs and giggles! #thepeoplescouch
7:06 AM - 24 Jun 2014|#Pgh skyline along the Allegheny River. Photo from @RiverlifePgh's office in @DowntownPitt #lovepgh @vstpgh pic.twitter.com/Qtjg3DgMSh
3:12 PM - 23 Jun 2014|Its not every day that you get an exclusive look at the @McDonalds fry box + goodies inside! #McdOneGoal pic.twitter.com/eaDyZZcld0
9:35 PM - 21 Jun 2014|Teaching people what CUPS means at a party. Am I a @Party_F_Owl or what? Cc: @HillCommPR
7:05 AM - 21 Jun 2014|Happy FIRST day of #Summer!
7:00 PM - 19 Jun 2014|I think @FrankieJGrande's biggest difficulty in the #BigBrother house is going to be not singing @ArianaGrande songs! #bb16 #BigBrother16
2:25 PM - 19 Jun 2014|Should I do it? pic.twitter.com/khnHlybPby
1:48 PM - 19 Jun 2014|Our weekly #FarmersMarket has grown! Now at the Waterfront Town Center! We are here every Thursday 3-7pm! pic.twitter.com/qmNyaBBXY7
6:01 PM - 18 Jun 2014|I rarely watch #SYTYCD but when I do I develop an intense lust for dancers.
7:19 PM - 17 Jun 2014|Aviva opened up her bag of crazy. Yaaaas Ramona Yaaaas #RHONY #RHONYGoesWest
7:17 PM - 17 Jun 2014|Aviva doesn't go on any of the trips, why is Kristen so shocked? #RHONYGoesWest
10:26 AM - 17 Jun 2014|Spending the day doing some work and having a delicious lunch! pic.twitter.com/XCWqSXzvGI
4:41 PM - 16 Jun 2014|I think @EventsGeek is a #KloutHero b/c she fosters great online relationships + is the first person I think of when I hear Klout Hero
2:31 PM - 16 Jun 2014|Discovering that @hellomr distributes in a Barnes + Noble near me has me feeling some type of way. #mildlyobsessed
12:53 PM - 13 Jun 2014|Sometimes a boy just needs some #pizza pic.twitter.com/Q7Biic6ge3
9:41 AM - 12 Jun 2014|Just downloaded the @klout browser extension and I'm in love! It was so quick and easy & now I can easily see everyone's scores.
11:17 AM - 11 Jun 2014|#follow @Carnegie_Coffee! Its an awesome local business right outside of #pgh with the coolest interior (it used to be a post office)!
1:07 PM - 10 Jun 2014|Made a quick trip to @Gap and @hm today and got some awesome deals! Pretty excited about the new shirts I got!
6:03 PM - 9 Jun 2014|Time to watch @HillaryClinton on #HillaryonABC!
6:18 PM - 8 Jun 2014|Wow...that was the first number of the night that made me shut up and listen #TonyAwards #GentlemensGuideToLoveAndMurder
5:27 PM - 8 Jun 2014|I'm living for this girl's collarbones #TonyAwards
5:16 PM - 8 Jun 2014|If Hugh Jackman participates in this performance I will literally schvitz. #TonyAwards
5:13 PM - 8 Jun 2014|12 minutes into #TonyAwards and my dad is crying. Still searching for a logical explanation.
5:12 PM - 8 Jun 2014|#MissUSA and #TonyAwards are on at the same time. This should be a federal crime. Pretty girls or talented gays? Gays it is.
5:10 PM - 8 Jun 2014|I don't know why my father thinks its okay to talk during #TonyAwards. This #HighSociety
2:39 PM - 5 Jun 2014|Was really excited to have a glass of wine and watch #TheTonyAwards, but then I remembered I'm on antibiotics. No wine for me.
11:50 AM - 5 Jun 2014|Mmm! Holy Strawberries! Come on down to the Macy's Courtyard for our weekly #FarmersMarket from 2pm-6pm! pic.twitter.com/RxNLfW8ecM
10:01 AM - 29 May 2014|Weird moment of the day: Watching an episode of #RHONY and seeing a girl from my math class in the episode. famous by acquaintance?
5:30 AM - 29 May 2014|Swing by @waterfrontpgh today 2p-6p for the 1st weekly #FarmersMarket in the courtyard near @Macys w/ music by Mikey Yurik! #organic #pgh
2:21 PM - 25 May 2014|Yesterday I spent my time at my first horse show! pic.twitter.com/GzzbYlqfPq
6:39 PM - 21 May 2014|Really hope that someone rips Tony a new one #survivorfinale
6:34 PM - 21 May 2014|Why does Woo keep repeating One Love. Is he trying to say he was high when making the decision to take Tony over Kass??? #survivorfinale
6:20 PM - 20 May 2014|My heart is going out to @IGGYAZALEA right now. She over came such a rough start to her performance #DWTSfinale
7:01 PM - 19 May 2014|Its time! #DragRace @RuPaulsDragRace pic.twitter.com/1RjZBot34T
4:24 PM - 19 May 2014|Getting @Starbucks, @ChipotleTweets with @LanaCMeyer #WhiteGirlProblems
2:48 PM - 19 May 2014|Cannot wait for the @RuPaulsDragRace's finale tonight! Solid 3 girls in the running, but I'm #TeamAdore!
8:35 PM - 17 May 2014|Wow! I loved that opening! #LiveFromNewYorkIts @nbcsnl!
2:45 PM - 16 May 2014|Join us tomorrow at @waterfrontpgh from 3-7p for the Summer Music + Marketplace w/ @IMadeItMarket @FTT_Pittsburgh #free #events #pgh
12:33 PM - 16 May 2014|Came home to this amazing photo on the cover of @ICMagazines (Carlynton/Montour) featuring @margaretrose5 #Star pic.twitter.com/JYt20JRAD2
11:59 AM - 16 May 2014|.@eileenfrench working with @ReviveMktGRP has been my own #casualluxury!
6:15 AM - 16 May 2014|So happy its Friday! Super impressed with @ReviveMktGRP's new summer intern @aidanmmeyer- it's been a great week #wildsuccess #casualluxury
11:54 AM - 15 May 2014|#TBT to @SUPRSSA's formal with @aidanmmeyer and @KeelanErhard. pic.twitter.com/WHNEnXyCtG
9:37 AM - 13 May 2014|After an awesome day with @eventsgeek & @eileenfrench I get to bask in the sun and get my tan on! #Summer2014
9:13 AM - 13 May 2014|Fab working brunch w/ @eileenfrench & @aidanmmeyer at @FairmontPGH #lovepgh
11:01 AM - 12 May 2014|Look at me and my best friends having a fun day on the town! pic.twitter.com/dAYSGRPDhV
10:54 AM - 12 May 2014|Goal: Get brunch with @msleamichele & Jonathan Groff
4:24 PM - 11 May 2014|#HappyMothersDay to my beautimous mother, @suzmeyer310!
2:32 PM - 10 May 2014|After years and years of promising, my mom finally helped me put in a new bar into my closet pic.twitter.com/x9h3nYIfeY
2:34 PM - 5 May 2014|#COM107 star-students studying for exam for @charisseiscool's class! pic.twitter.com/rw3C0BUvCA
10:20 AM - 29 Apr 2014|My boyfriend didn't know what to wear today. He's so silly. pic.twitter.com/D6LUuxjUj7
12:56 PM - 28 Apr 2014|Great article by my roommate, @KeelanErhard! #catfished pic.twitter.com/VbupcRSV7O
9:23 AM - 28 Apr 2014|In the final week of my freshman year of college. It all feels so surreal.
5:17 PM - 24 Apr 2014|Anderson Cooper answered one of my questions. #sweating #fallinginlove #AndersonAtSU
4:55 PM - 24 Apr 2014|If Anderson can make vagina jokes and be professional...so can I #AndersonAtSU
4:53 PM - 24 Apr 2014|I'd go to an ebola outbreak with you @AndersonCooper! #andersonatSU
4:28 PM - 24 Apr 2014|Is it hot in here or am I falling in love with @AndersonCooper??? #AndersonAtSU
4:23 PM - 24 Apr 2014|Oh my goodness... @ANDERSONCOOPER has been drunk dialed by Nene Leakes yelling don't be tardy for the party in the back of a limo
4:20 PM - 24 Apr 2014|.@CUSE_ALPHAS Anderson - was there a point in your career that changed a certain truth or the words you live by? #AndersonAtSU
4:10 PM - 24 Apr 2014|Wear vertical stripes because they're slimming - @AndersonCooper on his mom giving him advice for his first interview #AndersonAtSU
3:51 PM - 24 Apr 2014|In the same room as Anderson Cooper... #dead #wet #hungry pic.twitter.com/F5Q6OS3071
3:49 PM - 24 Apr 2014|Getting prepared for @AndersonCooper tonight!
10:37 AM - 24 Apr 2014|.@FashionWithTy it was just a matter of time.
10:35 AM - 24 Apr 2014|Famous Youtube vlogger @FashionWithTy talks about social media in her #COM107 class
12:22 PM - 23 Apr 2014|Just used a footnote in an essay for the first time and now feel like my academic career is finally relevant.
9:14 AM - 22 Apr 2014|Tonight! RT@jerkmagazine: Join us for an evening of jerking it with your friends, strangers, and whoever else! pic.twitter.com/vHHN0D6xcG
8:46 AM - 22 Apr 2014|I use the treating myself excuse waaaay too frequently.
2:04 PM - 21 Apr 2014|Spotted! @whataSmartALEX with a specimen of the opposite sex. Photo cred: @MariaIngaglio pic.twitter.com/Yv1YHPOMw9
1:16 PM - 21 Apr 2014|.@_alexandragold_ Lovin' your new icon pic. Taken by yours truly. xoxo
1:16 PM - 21 Apr 2014|One of my TAs assumed that I liked breakfast b/c my laptop had orange juice and coffee stickers. I explained No. I just like beverages
12:52 PM - 21 Apr 2014|Someone is actually walking around campus with the signature Miley Cyrus double-bun hairstyle. #CryForAttention
9:55 AM - 21 Apr 2014|Hitting end of the year crisis mode. Heeeelp!
8:28 AM - 20 Apr 2014|Womanizer is playing in the dining hall. Nothing says Happy Easter like Britney Spears!
3:02 PM - 18 Apr 2014|@aidanmmeyer and I are very disappointed in you @whataSmartALEX pic.twitter.com/0OzKFnwnwA
8:43 PM - 17 Apr 2014|I have the best @HillCommPR team! @Nick_JonesSYR @aidanmmeyer @whataSmartALEX @MariaIngaglio #winning pic.twitter.com/aqpWBvauMH
8:49 PM - 17 Apr 2014|Glad I got the smile-memo RT@HillCommPR: Congrats to our internal team for winning best account! You all rock! pic.twitter.com/x04oSpWpJW
8:26 PM - 17 Apr 2014|Had a great time with @aykayy24 at the #PRSSAFormal! #divas pic.twitter.com/l1qpTfjAvk
2:02 PM - 17 Apr 2014|Watching Spice Up Your Life in class. THANK YOU GOD
11:52 AM - 17 Apr 2014|Ended a speech with don't touch my hair, hoe. So there is that.
11:09 AM - 16 Apr 2014|.@andersoncooper hey babe! Wasn't able to get tix 4 your talk @ Syracuse. I really wanna come see you. Help? xoxo
9:37 AM - 16 Apr 2014|Sometimes I feel like my life consists of awkward smiles to people I've met in passing
8:38 AM - 16 Apr 2014|Come meet @Party_F_Owl today in schine and win some cool #swag pic.twitter.com/GRXTCqXnLc
10:46 AM - 15 Apr 2014|Pet peeve: When people over-pronounce spanish words with an accent.
10:25 AM - 15 Apr 2014|.@GrubHub - I'm having a bad day. Coupons???
10:19 AM - 15 Apr 2014|It's April 15th here at Syracuse University, and snow is currently quietly falling like shape blades into my little soul.
8:39 PM - 14 Apr 2014|Me and the fire truck #choochoo pic.twitter.com/mObhEwKVwF
4:07 PM - 14 Apr 2014|Can't wait for @SUPRSSA Formal on Thursday! #LyleInADress
3:36 PM - 14 Apr 2014|Really loving the weekly @klout social summary reports!
10:26 AM - 14 Apr 2014|Hi @VanessaHudgens - just wanted to know what was the inspiration behind this outfit? #YoureDoingItWrong #coachella pic.twitter.com/U8nJFfzMa5
8:49 AM - 14 Apr 2014|Iced Coffee is a cool invention
3:55 PM - 13 Apr 2014|BEAUTIFUL DAY AT SYRACUSE UNIVERSITY pic.twitter.com/LW7Ve7T5Cc
7:46 AM - 12 Apr 2014|Gearing up for a day of community service with @KeelanErhard, @MariaIngaglio, and many more!
9:29 AM - 10 Apr 2014|It is unreasonably nice outside today! @SyracuseU what are the chances you'll cancel classes so I can play on the quad?
12:48 PM - 9 Apr 2014|Something about a grown man in full suit with a Mohawk is confuses the hell out of me
1:31 PM - 8 Apr 2014|Does being excited for my tax return mean that I'm an adult now?
1:30 PM - 8 Apr 2014|GOT MY TAX RETURN! I AM RICH!!!
5:45 PM - 7 Apr 2014|Facebook keeps asking me if I want to tag @MariaIngaglio's feet in photos. I've given in. pic.twitter.com/UWhrDj2vou
5:38 PM - 7 Apr 2014|I don't know what it is about holding Starbucks that makes me feel like a bad gurl.
5:34 PM - 7 Apr 2014|Cant wait @jerkmagazine: Feeling lonely? Sit down with our new April issue - don't forget your tissues and lotion ;) pic.twitter.com/JyCiUFo1C9
11:37 AM - 7 Apr 2014|Some how all of my daily necessities get stolen or borrowed forever by those near and dear to me.
2:30 PM - 6 Apr 2014|Counting down the days until the #MediaMixer #PartyOfTheYear #BeThereORBeSquare @HillCommPR
1:00 PM - 6 Apr 2014|Did I just finish all my work for this week??? Who I am???
5:13 PM - 31 Mar 2014|I took a selfie this weekend. I thought my followers might wanna see it. #idk #soyrandom pic.twitter.com/IdR7m4SCX5
5:02 PM - 27 Mar 2014|Excited to see @BlackReignSU for the first time with @MariaIngaglio! #TheFinale #BlackReign
7:19 PM - 25 Mar 2014|WHAT IS SLEEP
4:48 PM - 24 Mar 2014|Thanks to Andy Katell, Senior VP of Communications at GE for speaking about the power of communications! #GEatSU
2:21 PM - 23 Mar 2014|Clutching my sbux!!! RT @HillCommPR: The in-house PR team is hard at work brainstorming a social media strategy! pic.twitter.com/OhqWyBNVrD
6:14 PM - 22 Mar 2014|Let's go Syracuse!
12:16 PM - 19 Mar 2014|I want a cheeseburger really bad. Wah.
12:16 PM - 19 Mar 2014|Hi @GrubHub - I've been playing the majestic dinner spinner religiously and I've had no luck. HELP.
9:03 AM - 18 Mar 2014|a chai a day keeps the doctor away (or at least I like to think so).
4:01 PM - 17 Mar 2014|NOW: #EDGE meeting w/ @LyleWeston25 @NoelleHedgcock @IAmAidanMeyer @SamanthaJ011 and the whole @YogurtlandSU team! pic.twitter.com/9mF5boiV8r
3:01 PM - 13 Mar 2014|Bumper to bumper traffic with my dad is super fun...
11:19 AM - 12 Mar 2014|At the dentist for the second time today because lol YOLO
2:16 PM - 9 Mar 2014|What I'm hoping for the season finale of @LookingHBO: Jonathan Groff shirtless the entire time. #ItWillHelpTheStoryLine
2:07 PM - 9 Mar 2014|I made a smoothie - I am a healthy eater yet??
12:59 PM - 9 Mar 2014|Good game Cuse!
4:24 PM - 6 Mar 2014|Just received 15 points for a rest stop check-in on @foursquare! I'm basically really important. Get in line, @bchou1234
9:39 AM - 6 Mar 2014|Well...i was actually running up the stairs...
9:39 AM - 6 Mar 2014|Fell while walking up stairs in Newhouse #Metaphor
9:10 AM - 5 Mar 2014|one midterm down ~ one more to go
2:06 PM - 4 Mar 2014|The amount of my day that is wasted sending e-mails and texts is ridiculous. Take me back to simpler times!
5:02 PM - 2 Mar 2014|Not feeling the shorts, @Pharrell #ERedCarpet #Oscars2014 pic.twitter.com/nJYvjJY0Jc
2:38 PM - 1 Mar 2014|NOOOOOOOooOOooOoOooRT @Cuse: Ennis picks up his fourth foul and has to take a seat. Grant out with back injury.
2:27 PM - 1 Mar 2014|Common themes of the day: writing and grammar are fundamental and find your passion #CuseCon
2:20 PM - 1 Mar 2014|Having a hard time balancing @cusecon and the @syracusebball game... #CuseProblems #OrangeNation #SUsoccomm #CuseCon
2:08 PM - 1 Mar 2014|+Google ripples allows you to see which key influencer started a conversation. #CuseCon #NewhouseSM4
2:09 PM - 1 Mar 2014|Awe RT @_alexandragold_: The fact that @LanaCMeyer & I are both in the same area but I dont get to see her makes me 804 diffshades of sad
1:21 PM - 1 Mar 2014|Parents and student loans: the two things that make us stress the most. Worry less. -@fredcook #cusecon
12:54 PM - 1 Mar 2014|Try to have a basic understanding of who the journalist is before pitching them. Advice from @KristinaWeise of @SoundCloud! #Cusecon
12:33 PM - 1 Mar 2014|.@KristinaWeise is rocking the all black look with a pop of color with her orange footwear. #CuseCon #GoOrange
10:01 AM - 1 Mar 2014|Thanks Craig Radow for speaking at #CuseCon! I learned some valuable things about Entertainment PR and the job hunt
9:38 AM - 1 Mar 2014|Anyone write a tweet, but not everyone can write a pitch that will end up on the front of a newspaper #CuseCon
9:20 AM - 1 Mar 2014|The  cancellation of X-Factor was released an hour before the Olympic Opening Ceremonies for a reason! Timing is everything #CuseCon
9:19 AM - 1 Mar 2014|Radio is still a relevant media - says Craig Radow of @20thcenturyfox, an LA native who spends hours in his car in LA traffic.
9:14 AM - 1 Mar 2014|Stay in contact with people you outreach to - whether its telling them how the weather is or informing them of accomplishments #CuseCon
7:47 PM - 27 Feb 2014|Beyond impressed with @amazon's customer service - its efficient, reliable, and friendly!
4:39 PM - 27 Feb 2014|.@torodneptune gives great insight on how @Verizon is changing in a social & digital age #SUSocComm pic.twitter.com/hbINXhqqG7
4:32 PM - 27 Feb 2014|RT @djaskier: People love their phones and what they can do on them, but it's harder to love the company you bought it from #SUSocComm
4:25 PM - 27 Feb 2014|.@Verizon's communications department is shifting from a linear approach to a multi-dimensional approach #SUSocComm
4:23 PM - 27 Feb 2014|Writing remains the most fundamental skill, even in a digital and social age #SUSocComm
4:14 PM - 27 Feb 2014|I did - won prom king w/ my sister; can't get much higher than that RT @megzucchini: RT if you peaked at prom (junior or senior)
3:34 PM - 27 Feb 2014|Excited to hear @TorodNeptune speak about how has communication changed in a digital and social age!
2:43 PM - 27 Feb 2014|What I've had to eat today: two sticks of gum and a coffee
10:29 AM - 27 Feb 2014|I'm mad as hell and I'm not gonna take it anymore
9:41 AM - 26 Feb 2014|New computer charger. Happy Aidan.
3:35 PM - 24 Feb 2014|LAST SEMESTER: Week of finals: my hard drive crashes  THIS SEMESTER: Week before midterms: My charger cord breaks  #technologysucks
10:29 AM - 24 Feb 2014|Looking at my planner and getting major anxiety
7:11 AM - 24 Feb 2014|Got my floor tickets to ZEDD & 2CHAINZ for #CuseBP thanks @UUInsider!
4:38 PM - 22 Feb 2014|watching the game and doing homework pic.twitter.com/vpwOiYJ1Sk
11:01 AM - 21 Feb 2014|How I'm insulating my room while I wait for my window to be fixed by @SUFixIt #dormlife pic.twitter.com/qBoF2FVlPg
10:30 PM - 20 Feb 2014|.@GrubHub is my drug
