4:35 PM - 29 Nov 2015|Happy birthday to my two favorite travel buddies @RachelRoams and Jennifer from @LATravelMag 
5:56 PM - 19 Jul 2015|Rainy day won't keep the girls at bay  #DirtyThirtySundayFunday pic.twitter.com/fQqjGReYrx
2:20 PM - 19 Jul 2015|They call me mellow yellow #selfiesunday pic.twitter.com/BDPiqgHnmD
10:01 AM - 18 Jul 2015|Yes yes yes #VacationChasers thank you @HLNTV pic.twitter.com/Z7MpTWRcF2
8:01 PM - 17 Jul 2015|I've missed you LA #HomeSweetHome pic.twitter.com/8hxEeyRivL
12:55 PM - 16 Jul 2015|Missing my girl @rachelroams -- she's in freaking CUBA! #sojealous pic.twitter.com/S6QvFWgxgO
7:55 AM - 15 Jul 2015|I hate when people post a bunch of quotes, but this one spoke to me. So here goes... pic.twitter.com/829oczlJE1
4:12 AM - 15 Jul 2015|Muhahahahaha I got your drink! @Andrea_Helfrich #ImHavingWayTooMuchFun pic.twitter.com/33YHRKrdyk
4:05 AM - 15 Jul 2015|So @Andrea_Helfrich had a much better drink order. I stole it while she takes selfies. SHHHHHHH  #hvar pic.twitter.com/Ox3ZJ6Gx6p
3:53 AM - 15 Jul 2015|Hello Wednesday pic.twitter.com/KUw2m8WRaU
2:01 PM - 14 Jul 2015|I'm no one without these film makers #ultra #umftv @finalkid pic.twitter.com/3mR7IAJPpo
8:27 AM - 14 Jul 2015|The madness has begun w #ultrabeach @ultra #nomobo #hvar pic.twitter.com/0CyO9gy3yX
4:05 PM - 13 Jul 2015|I'd never get away with this in America #Croatia #travel #ultraEurope pic.twitter.com/n27BH9AgzG
2:05 PM - 13 Jul 2015|Exploring Split with one arm never looked so good #Croatia #Travel #UltraEurope pic.twitter.com/ObImsEQ319
5:18 AM - 13 Jul 2015|Big thanks to everyone who watched the #ULTRALIVE livestream. Currently recovering from the chaos  pic.twitter.com/X5oXIW14Ab
4:31 PM - 12 Jul 2015|Any questions for @SteveAngello ?@umftv #ultralive
1:55 PM - 12 Jul 2015|Taking a selfie in VIP before they kick me out  #ULTRALIVE #UltraEurope pic.twitter.com/TkwujsjrTq
11:17 AM - 12 Jul 2015|Any questions for @WandWmusic ? Lmk!! #ULTRALIVE @UMFTV
10:29 AM - 12 Jul 2015|I am wearing an orange highlighter for today's livestream #ULTRALIVE @umftv #UltraEurope pic.twitter.com/1XkALTUwO1
3:55 PM - 11 Jul 2015|Armin van Buuren will be coming up soon- what shall I ask him? @arminvanbuuren #ULTRALIVE @UMFTV
3:13 PM - 11 Jul 2015|Everyone should tune in and watch  @AndreaFeczko host on @UMFTV at #UltraEurope #ULTRALIVE.
3:09 PM - 11 Jul 2015|Martin Garrix going to the crowd after his set-- awesome #UltraEurope #edm #martingarrix #ULTRALIVE pic.twitter.com/8vyR8XnQlj
10:55 AM - 11 Jul 2015|I'll be interviewing @MartinGarrix before his set-- what do you want to know?? #ultraeurope #ULTRALIVE @umftv pic.twitter.com/KDpcZLT75x
9:38 AM - 11 Jul 2015|Any questions for @DashBerlin? @umftv #ULTRALIVE
8:37 AM - 11 Jul 2015|You guys things are getting weird here at #UltraEurope I. Can't. Even.  pic.twitter.com/2LOszMWrD5
8:27 AM - 11 Jul 2015|3 more hours until we're live OMGEEEEEEEE  #ULTRALIVE #UltraEurope pic.twitter.com/V2dgH6gPWw
1:54 PM - 10 Jul 2015|Just chillin backstage w one half of @DVBBS  pic.twitter.com/wCOvLIsIay
11:02 AM - 10 Jul 2015|Do they make this in adult sizes? If so, please e-mail me ;) #minionmayhem #IWantOne pic.twitter.com/u3NgOrxIKf
4:43 PM - 9 Jul 2015|Making my mark in Croatia... With my BOOTY!!  #UltraEurope #edm #croatia #giraffe pic.twitter.com/1y4JzwCU8w
10:37 AM - 9 Jul 2015|Someone didn't get the black and white memo #UltraAngels #UltraEurope @Andrea_Helfrich pic.twitter.com/nWE9moBAHP
5:21 PM - 7 Jul 2015|So happy I DVR-ed #vacationchasers so I'm having me a marathon right now! @RachelRoams @AndreaFeczko #travel
8:14 AM - 9 Jul 2015|The guest next door is BLASTING some country music. I'm in Croatia by the way. #help
12:54 PM - 8 Jul 2015|Touchdown: #CROATIA! #UltraEurope @ULTRAEurope @ultra pic.twitter.com/g0qlrKhp4d
4:59 PM - 7 Jul 2015|10 years ago I was in London when the 7/7 bombings happened. My heart goes out to all those still affected  pic.twitter.com/BFxiVkjvV2
4:09 PM - 7 Jul 2015|Jesus I have no willpower- it's not even 5 o'clock #lax #UltraEurope pic.twitter.com/WtiQaBrzsG
8:02 AM - 7 Jul 2015|Peace out, LA  Croatia, here I come!!! #UltraEurope #UMFEurope2015 @ULTRAEurope @ultra
2:05 PM - 6 Jul 2015|Can't wait to be with my Ultranauts soon! #UltraEurope #edm pic.twitter.com/5IpieMsFZJ
9:01 AM - 6 Jul 2015|If being an adult means no more Lucky Charms, then I'll be a kid forever #BreakfastofChampions pic.twitter.com/eVSpdKck46
4:16 PM - 5 Jul 2015|I was going to post something about GO USA but it seems our girls don't need any help. How did that happen so fast? #USWNT #USAJPN 
3:30 PM - 5 Jul 2015|This is what I call multi-tasking #SelfieSunday #BillyReid pic.twitter.com/cUXjlfh3f7
6:21 PM - 4 Jul 2015|Do you guys like my new backpack? pic.twitter.com/V0GIAGPcpB
5:05 PM - 4 Jul 2015|... And he wins the day #GOAT #Merika #IndependenceDay @Harmude  pic.twitter.com/qV4OCN5oMK
2:01 PM - 4 Jul 2015|Happy #4thofJuly! #fireworks pic.twitter.com/J3YCMtZfwK
9:49 AM - 3 Jul 2015|Always nice to see @AndreaFeczko during brunch! pic.twitter.com/dSGBfMUGgx
9:06 AM - 3 Jul 2015|The competition is on like Donkey Kong! #vacationchasers #marathon pic.twitter.com/yRoCCKsiiQ
8:40 AM - 3 Jul 2015|Only the best way to start the holiday weekend- #VacationChasers season one marathon is on in 20 MINUTES on @HLNTV!
7:02 AM - 3 Jul 2015|And we're baaaack! #VacationChasers season one marathon is on today 12PM E/9AM P on @HLNTV pic.twitter.com/0ieXbElr7a
1:20 PM - 2 Jul 2015|Now I know what I look like as a man!  RT @KevynPM: My husband Craig made this for you in #Beardify, with love :) pic.twitter.com/2kOi94HwL5
10:29 AM - 1 Jul 2015|Happy Canada Day!!! #CanadaDay2015 pic.twitter.com/CiLYXWaFv6
10:01 AM - 30 Jun 2015|I'm awake. Now to decide if to use my powers for good or evil. pic.twitter.com/dggBxRdlHC
3:01 PM - 29 Jun 2015|Fridge is stocked. And yes, I understand it's a freezer. #3MinuteChef pic.twitter.com/UJvhEMZfxh
8:42 AM - 29 Jun 2015|I paid my @Starbucks breakfast by making it rain in ones. The barista is now in love w me #LoveInDisClub #HappyMonday
8:24 PM - 28 Jun 2015|Wow oh wow #la #malibu #nofilter pic.twitter.com/MpRUwCDVjh
5:01 PM - 28 Jun 2015|CZ. Every girl's worst nightmare pic.twitter.com/ux9WbHuOzK
1:01 PM - 28 Jun 2015|Just because I like to creep you out #selfiesunday pic.twitter.com/TavyUH9TAJ
4:01 PM - 27 Jun 2015|When you try to be good and get a small slice.. then go back for more, bc WHO ARE YOU KIDDING?? pic.twitter.com/kdAaHBE6Vj
6:33 PM - 26 Jun 2015|@AndreaFeczko By far the best episode. Loved the series and all your How2Travelers vids. I adore you guys and am a fan forever.
6:29 PM - 26 Jun 2015|YAY congrats @AndreaFeczko for winning the #VacationChasers episode tonight!
1:13 PM - 27 Jun 2015|Celebrated #VacationChasers a little too hard last night. Uggghhhhh pic.twitter.com/9auw7Qvgx0
11:01 AM - 27 Jun 2015|Can't believe the 1st season is already over! Thank you for all your support- you made this so special!! #BigHugs #VacationChasers @HLNTV
5:40 PM - 26 Jun 2015|20 MIN 'til the Season Finale of #VacationChasers! Where is the final destination for season 1? Only one way to find  @HLNTV @RachelRoams
4:35 PM - 26 Jun 2015|What am I doing tonight? Only watching the best goddamn show on television! #VacationChasers 9pm E/6pm P - be there or be square
2:02 PM - 26 Jun 2015|Me when the person next to me on the plane hogs the armrest. I found perfect solution: #Soarigami #ArmrestWars pic.twitter.com/5dTDThS3x5
12:01 PM - 26 Jun 2015|#VacationChasers SEASON FINALE is tonight on @HLNTV at 9PM E/6PM P! Tune in to see who closes out season 1 as winner! pic.twitter.com/BPjW2XD9GQ
9:26 AM - 26 Jun 2015|Just one more...  #LoveWins #SCOTUS #GOT pic.twitter.com/yuPdj3VRsE
9:01 AM - 26 Jun 2015|Love is now the Law  @WhiteHouse pic.twitter.com/7oKmJivnLa
8:33 AM - 26 Jun 2015|Thank you US Supreme Court. Just Thank You!!  #Obamacare #GayMarriage #EqualityForAll
7:01 PM - 25 Jun 2015|My happy place @HLNTV #VacationChasers pic.twitter.com/UTAXYhjmTu
5:24 PM - 25 Jun 2015|Tomorrow night @ 9p/et on #VacationChasers on @HLNTV! Will @AndreaFeczko or @RachelRoams score the final win??? pic.twitter.com/Kg50LZJTCC
5:01 PM - 24 Jun 2015|Meet my new therapist. I feel like he gets me pic.twitter.com/bUV6JnXh28
1:52 PM - 24 Jun 2015|Lots of hotties on Fri's #VacationChasers! 9pmE @HLNTV @ElissaReillyS @RachelEReilly @PorscheLBriggs #BigBrother #wcw pic.twitter.com/XrQGzEPEEP
8:00 PM - 23 Jun 2015|Looking like angels so we get on @nancygrace good side @hlntv #VacationChasers pic.twitter.com/5JKnC9zZbz
5:01 PM - 22 Jun 2015|2 Polish/Ukrainian people. Only 1 is excited about it. @stephenkrill pic.twitter.com/iO9J0HFn7p
2:01 PM - 22 Jun 2015|I have no idea what I'm doing in this picture @theqyou pic.twitter.com/2iJoxfrUZi
5:21 PM - 21 Jun 2015|I'm far away from my fam today-- but that doesn't mean I'm not there in spirit #socute #VacationChasers pic.twitter.com/VuplDxTGdb
2:01 PM - 21 Jun 2015|A hair day this good deserves a tweet #SelfieSunday pic.twitter.com/F8o6N6aghW
10:01 AM - 21 Jun 2015|Happy Father's Day! My dad is totally going to appreciate this tweet considering he doesn't have twitter.
4:01 PM - 20 Jun 2015|I'm Walking Away From The Troubles In My Life - hands up if you remember that jam pic.twitter.com/Tja9j04izb
11:01 AM - 20 Jun 2015|This is a very aggressive breakfast pic.twitter.com/GaAORgR1Lx
8:32 PM - 19 Jun 2015|Celebrating a successful #VacationChasers and the #SummerSolstice pic.twitter.com/BrhkXZkUtn
6:00 PM - 19 Jun 2015|Vacation Chasers starting on HLN. Go Andrea! @AndreaFeczko
6:02 PM - 19 Jun 2015|Can't wait to see what vacation ideas that @AndreaFeczko & @RachelRoams have planned in store for @VacationChasers tonight! #VacationChasers
5:40 PM - 19 Jun 2015|#VacationChasers is on in 20 minutes! Are you watching?? I'm ready! @HLNTV @RachelRoams
12:01 PM - 19 Jun 2015|All new episode of #VacationChasers tonight! Rachel and I are 1-1. Who'll win? Find out 9PM E/6PM P on @HLNTV pic.twitter.com/SBjIKkz3h9
10:07 AM - 19 Jun 2015|#FF The Voice of Ultra @damianpinto - Love, The Face of Ultra  #edmnation pic.twitter.com/PNodVnL3G0
6:03 PM - 18 Jun 2015|Subscribed! Woo hoo! RT @TheQYOU: QYOU artist @rizenvisual is about to cross 100K subs! Let's RIZE together & Subscribe!
3:01 PM - 18 Jun 2015|This is what it looks like to shoot your own YouTube show #bts @how2travelers -- new video up today! pic.twitter.com/B7oEM3F1F3
7:01 PM - 17 Jun 2015|I shall call this filter Alien-ized pic.twitter.com/bNCPmE9kCF
5:22 PM - 17 Jun 2015|Exactly how I feel! Right down to Eileen's erect bangs @citytripguru: @VacationChasers oh Yeah!!! Congrats! pic.twitter.com/QAn2LjYPdh
3:01 PM - 17 Jun 2015|Hot Mess #nailedit pic.twitter.com/DveHW6WPqX
2:32 PM - 17 Jun 2015|My #wcw is @AbbyWambach - GO USWNT GO! #WWC2015 pic.twitter.com/8WRK1Khs0B
3:01 PM - 16 Jun 2015|When your salad tells you a joke pic.twitter.com/wXyO8Q4euV
2:00 PM - 15 Jun 2015|At least they live on here.... #GOT #GOTSeasonFinale pic.twitter.com/jn4I4dCph5
6:22 PM - 14 Jun 2015|Wow. A very welcome back to LA!  #foodandflowerswinthegame pic.twitter.com/QqRriZqqUu
11:23 PM - 12 Jun 2015|Do you have any questions for @brightlights333 ? #ultralive @UMFTV pic.twitter.com/x1mBRi1cqI
8:04 PM - 12 Jun 2015|I'm so photogenic it's ridiculous #VacationChasers RT @cristobalfer: Watching vacation chasers at @HLNTV pic.twitter.com/7jDbqdSJQM
5:51 PM - 12 Jun 2015|Amen!  RT @stephenkrill: Grab a cocktail and turn on @HLNTV. Rachel + Andrea are back for round 2 on #VacationChasers. Tonight at 9P.
5:48 PM - 12 Jun 2015|That's dedication! I approve! RT @MyselfRf: I rush home from work to watch #VacationChasers. It's the best show ever.
5:36 PM - 12 Jun 2015|T-25 minutes 'til showtime! RT @pdawg43 Tonight #VacationChasers round 2.will @AndreaFeczko move to 2-0 or will @RachelRoams even the score?
5:40 PM - 12 Jun 2015|Brand new episode of #VacationChasers starts in 20 MINUTES on @HLNTV! Who's watching with me?!?!
7:52 AM - 12 Jun 2015|Can't wait!!RT @HLNTV: Pretty much impossible to not miss these 2!! #VacationChasers coming to you TONIGHT at 9p E pic.twitter.com/6mPY1yDdp2
5:27 PM - 11 Jun 2015|Steak, salmon, stir fry... My Korean breakfast is seriously confused as to what time it is pic.twitter.com/VZuvasG6j8
2:01 PM - 11 Jun 2015|Throwback to Ultra Korea 2013!  #UMFKorea2015 @ultra #tbt #edm pic.twitter.com/l19OWBkG6W
3:01 PM - 10 Jun 2015|Made it to Korea! Can't wait to see my #ultranauts @umfkorea pic.twitter.com/VRW5qstT8O
12:01 PM - 10 Jun 2015|#WCW is @robinmeade- she's a host I've looked up to for years. I mean, look at that smile on my face! <3 <3 <3 pic.twitter.com/3QGWJ0WPq6
5:01 PM - 9 Jun 2015|So that wine was gone in 20 minutes- thx @jwbuckhead @atlantacvbpr 4 the gr8 stay! #nomnomnom pic.twitter.com/i27FUce8oA
11:23 AM - 9 Jun 2015|Breakfast #sorrynotsorry #lax #ultrakorea pic.twitter.com/y1CYqhhfPX
10:28 AM - 9 Jun 2015|I just learned there are BreastFeeding Mom Support Groups. I thought that was a push up bra...
7:00 PM - 8 Jun 2015|Everything?? So where's my personal donut/pug puppy machine? pic.twitter.com/Bbs6PJFYC4
4:10 PM - 8 Jun 2015|Just finished a #BadBlood parody and now I hear it on the radio- it must be fate @TheKeyofAwesome #tswift pic.twitter.com/3RCs74Xdid
2:00 PM - 8 Jun 2015|I'm happy on the inside, the outside needs to catch up #restingbitchface pic.twitter.com/fgnlcv0nz0
7:51 PM - 7 Jun 2015|My imagination is clearly dirty  Hotel is awesome RT @GansevoortMPD: The imagination is a powerful thing. We hope you have a wonderful stay
6:12 PM - 7 Jun 2015|This isn't suggestive at all... @GansevoortMPD pic.twitter.com/sPh4xkNKnH
8:57 PM - 6 Jun 2015|Nothing like a hot blonde + #PlanetEarth to make a sizzling Sat Night @RachelRoams @JWBuckhead pic.twitter.com/htUoRm1dnZ
3:01 PM - 6 Jun 2015|@AndreaFeczko @HLNTV My new addiction #vacationchasers , Such a gr8 new show!
1:45 PM - 6 Jun 2015|Loving my day off in Buckhead #Hotlanta @how2travelers pic.twitter.com/AlB43xGbGD
11:00 AM - 6 Jun 2015|Thank you SO much for tuning in to the premiere of #VacationChasers last night! Sending you lots of love! XO @HLNTV pic.twitter.com/9lEFhMv9jf
6:53 PM - 5 Jun 2015|Thank YOU for being amazing clients! RT @abravenewsong: Love Andrea + Rachel so much! Thank you #VacationChasers pic.twitter.com/UV3LTL78TV
6:50 PM - 5 Jun 2015|Well this is cool-- what you don't see is my face is on the big screen at CNN Headquarters #VacationChasers  pic.twitter.com/QWlnIdW9Hy
6:42 PM - 5 Jun 2015|The Beach=Phi Phi Island RT @LutzUniverse: What's a trip you've wanted to take that was inspired by cinema/television? #VacationChasers
5:45 PM - 5 Jun 2015|We've officially taken over @HLNTV'sTwitter for the next hour! Tweet us with your questions using #VacationChasers pic.twitter.com/OvZzhSa8On
5:32 PM - 5 Jun 2015|TAKEOVER STARTS NOW! See you on @HLNTV twitter and periscope live-tweeting the premiere of #VacationChasers 9pm E  pic.twitter.com/FwQzWLwTop
5:25 PM - 5 Jun 2015|GIRLS!!!!  #beyonce #vacationchasers #HereWeGo! RT @HLNTV: WHO RUN THE WORLD? pic.twitter.com/Pg9o4lO2BG
5:00 PM - 5 Jun 2015|#VacationChasers 1st episode is on @HLNTV in ONE hour! I'll be livetweeting! Tweet me what you think :)
12:53 PM - 5 Jun 2015|This may or may not be my third donut #DonutDay @HLNTV Thanks @AlbieHechtHLN! #VacationChasers pic.twitter.com/FAw3SZLSAH
11:20 AM - 5 Jun 2015|So fun! RT @Knowlesitall: Welcoming #VacationChasers to the @HLNTV family by playing some 'Would You Rather?' pic.twitter.com/oLgxbMTuIc
10:21 AM - 5 Jun 2015| RT @HLNTV: .@NancyGraceHLN don't look now but #VacationChasers took over your desk! No use running girls! pic.twitter.com/1DhfncBErl
7:05 AM - 5 Jun 2015|GIRLS!  @AndreaFeczko & @RachelRoams are taking over Twitter TONIGHT at 8:30p right before #VacationChasers at 9p! pic.twitter.com/NprFAGvhUy
10:02 AM - 5 Jun 2015|Tonight's the night! Tune in to #VacationChasers on @HLNTV 9PM EST/6PM PST May the best vacation win! (mine) pic.twitter.com/ikPg4sVsQV
9:29 AM - 5 Jun 2015|Outfit change! We'll be on @TheDailyShare in 20 minute! (12:50pm E) #VacationChasers pic.twitter.com/XcDJqTwjrw
6:31 AM - 5 Jun 2015|Going live @MorningExp in 10 minutes! pic.twitter.com/lwqr4lyZgV
4:05 PM - 4 Jun 2015|BORN READY  RT@HLNTV: ONE. MORE. DAY. #VacationChasers premieres tomorrow at 9pmET on #HLN!   Are you ready? pic.twitter.com/C36LDDXZAi
10:10 AM - 4 Jun 2015|And hotness!  RT @Ali_Nejad: Lotta frequent flyer miles in this pic. Me & #VacationChasers Fri at 9p ET on @HLNTV! pic.twitter.com/yrEjqfr5eC
9:49 AM - 4 Jun 2015|Here we goooooooo!!!! #VacationChasers takeover @TheDailyShare pic.twitter.com/XEj6HIfgqL
10:36 AM - 3 Jun 2015|Exit row with charger-- and I didn't pay extra. Someone's feeling lucky #littlethings @Delta #VacationChasers pic.twitter.com/5uWDjw7tj6
9:02 AM - 3 Jun 2015|Airplanes + hotels are home for the next 2 weeks. Insanity starts.... NOW #VacationChasers @how2travelers
3:20 PM - 1 Jun 2015|In the middle of rundown hell #setlife @TheQYOU pic.twitter.com/DSPA5dY7Wt
11:10 AM - 1 Jun 2015|I can support THIS breaking the internet #CaitlynJenner #WayToGo @VanityFair pic.twitter.com/U8ezJeW9jd
3:30 PM - 31 May 2015|Act Surprised! #selfiesunday pic.twitter.com/S02UxvSiRi
11:45 AM - 31 May 2015|Last day of May, make it count!
5:10 PM - 30 May 2015|Sleeping Beauty or Cinderella?
1:01 PM - 30 May 2015|Come to the dark side. We have cookies. pic.twitter.com/UeNvsISJSY
2:01 PM - 29 May 2015|HI from @how2travelers! Big announcement coming pic.twitter.com/4AxEmAltuV
11:25 AM - 29 May 2015|Now that I live in Beverly Hills 90210- they HAVE to get my name right #itsONdrea pic.twitter.com/0dYGMz76AW
9:25 PM - 28 May 2015|I think we need to form our own girl group @shaewilbur @alyssabakertv #riotsummer pic.twitter.com/PEi21aKTC8
7:00 PM - 28 May 2015|Throwback to that time I was a total ninja at moving #tbt #winning
10:30 PM - 27 May 2015|Good night kisses! pic.twitter.com/BwVowd75ad
4:13 PM - 27 May 2015|That's because you're smart! RT @JazelleClores: I vote for #TeamAndrea to win! #VacationChasers
3:33 PM - 27 May 2015|Recommendations for a weekend in #Atlanta? @how2travelers #travel #hotlanta #atl
4:00 PM - 26 May 2015|My preferred mode of transportation pic.twitter.com/rPtnbI4N6C
9:01 AM - 25 May 2015|Monday morning pep talk pic.twitter.com/lHehzREWXj
3:25 PM - 24 May 2015|Selfie Sunday.. the outtakes version @how2travelers pic.twitter.com/B30j8y4spH
12:01 PM - 24 May 2015|IKEA + Champagne -- this will end well... pic.twitter.com/nWGjgB3elD
5:36 PM - 23 May 2015|Yes! RT@karltims: There's a big gay rainbow over Dublin, if that's not Jesus giving the Yes vote I don't know what is pic.twitter.com/R0JcEf1xHt
12:00 PM - 23 May 2015|Benedict won! pic.twitter.com/RoKZerNfP7
10:30 AM - 23 May 2015|Omelette or eggs Benedict?
10:17 PM - 22 May 2015|Theme for tonight: Bae's Way or the Highway #hangry #SleepDeprived 
7:00 PM - 22 May 2015|Bubble bath-- what are you doing this Friday?? pic.twitter.com/dL39wLFgpH
4:56 PM - 22 May 2015|Thank you so much for all the congrats! #VacationChasers is a dream come true and I'm overwhelmed by all the love.  @HLNTV
2:01 PM - 22 May 2015|NOTHING TO SEE HERE! Just my co-host @rachelroams hiding behind a reflector #NBD pic.twitter.com/LWgElnRKds
10:15 PM - 21 May 2015|Just wrapped on my promo for my new show!! #VacationChasers on @hln fri June 5 at 9pm pic.twitter.com/hwU76AnTrV
4:19 PM - 21 May 2015|Now THAT is a cake! Bday celebrations @TheQYOU style @KampheyApproved @curtmarvis pic.twitter.com/k1sIjiL6H4
2:00 PM - 21 May 2015|Throwback to that time I was famous, I mean I did a press conference ;) #tbt pic.twitter.com/kOQK5U6w6E
11:01 AM - 21 May 2015|All these girls with their juices and I am like... pic.twitter.com/DKputEUogS
3:00 PM - 20 May 2015|April showers finally delivering on those May flowers pic.twitter.com/wT1SZhuUdj
10:35 AM - 20 May 2015|You'd never know I am really a zombie thanks to hair and makeup by @eveivenegg pic.twitter.com/wx8VgxCvZC
12:01 PM - 19 May 2015|Spot the European #Croatia pic.twitter.com/nHCg7d7aae
7:21 AM - 19 May 2015|#TransformationTuesday in effect! @TheQYOU pic.twitter.com/rG50jGYZkn
2:04 PM - 18 May 2015|It's a worthy goal RT @TheQYOU: Andrea wants to make a shoe mural like @KarminMusic -only 937 pairs to go! pic.twitter.com/xG2xmx2Q8u
10:31 AM - 18 May 2015|Happy Victoria Day, Canada! #VictoriaDay pic.twitter.com/FsvNHXrzus
9:24 PM - 17 May 2015|I just spilled a full cup of coffee on my brand new WHITE duvet. I'm so ashamed.  pic.twitter.com/hY9CWrRBug
1:20 PM - 17 May 2015|Blue skies smilin' at me :) pic.twitter.com/Q2ZEVoKTWF
7:10 PM - 16 May 2015|Lovely evening at the @LAPhil - Frank Gehry made one hell of a venue pic.twitter.com/nIu5pZDhWh
2:15 PM - 16 May 2015|If you could go anywhere in the world, where would would you go?
2:15 PM - 15 May 2015|I think someone is trying to kill me pic.twitter.com/Y9BFX8YEjc
5:48 PM - 14 May 2015|Just tryin to make Gwen proud!  RT @LAMBfashion: Kicking it old school w @AndreaFeczko and her #LAMBfashion wedges pic.twitter.com/vNojq0pmhr
3:34 PM - 14 May 2015|Yeah you are boy- and you're gonna like it!  #JustCallMeHulkette RT @CorridorDigital: @TheQYOU Oh dang, I'm about to get double smashed.
3:30 PM - 14 May 2015|Ultra outfit that didn't make the cut-- what do you think? @shopstylemafia pic.twitter.com/MMcvGE9ZAh
3:19 PM - 14 May 2015|Wrong universe-- but it's Thor for days if we're going that route! RT @pdawg43: Ironman hands down
1:05 PM - 13 May 2015|I am upset, I was told the doughnuts are gone. WHY WOULD THEY DO THIS TO ME?? pic.twitter.com/qCXQM6Sg6W
10:45 AM - 13 May 2015|But she's so PURDY! RT @TheQYOU: @mariedigby has hypnotized Feczko w her Diamond Eyes. Get back to work, Andrea! pic.twitter.com/aZ1GfxPGoY
4:45 PM - 12 May 2015|The three Super Secret Travel TV Show musketeers @RachelRoams pic.twitter.com/sHMhKYkrwR
3:31 PM - 11 May 2015|Note to aspiring talent: Don't scare off the director with your (awesomely) bad dancing pic.twitter.com/zOxmL9o7kY
12:25 PM - 11 May 2015|Hair inspiration- how close did we get? pic.twitter.com/dDyya4aEaS
11:30 AM - 11 May 2015|Not weird when you're a nerd like me!  RT @TheQYOU: Equations always make Andrea dance. Weird. pic.twitter.com/zdH1F0XCty
9:14 AM - 11 May 2015|First day of work from my new place! I feel like I'm going to my first day of school #90210 pic.twitter.com/TCMAbrizzn
4:25 PM - 10 May 2015|Stay weird #selfiesunday pic.twitter.com/ibitDETPuO
10:25 AM - 10 May 2015|The massive crowd in the Whole Foods flower department can only mean one thing: Happy Mothers Day!
4:40 PM - 8 May 2015|YEAH I AM! #voiceofanangel RT @TheQYOU: Hey @ForteTenors. Did you know Andrea is also a gifted opera singer? #Not pic.twitter.com/ocHRYCa3D2
4:01 PM - 8 May 2015|If Moses lived today- I hope he'd part this traffic #rushhour
10:02 AM - 8 May 2015|I tired the @kyliejenner lip thing-- umm, could be worse? #candylipz #ducklipz pic.twitter.com/NOuhEBwvNc
12:05 PM - 7 May 2015|That time I met @KygoMusic backstage at #Ultra-- and of course I'm dressed like a slob #tbt pic.twitter.com/iMUo78NcZj
4:35 PM - 6 May 2015|My first and last time trying parkour. I rolled my ankle 2 minutes after this photo #clutz4life pic.twitter.com/T6pWUQxAJm
2:31 PM - 6 May 2015|George Clooney's birthday should be a national holiday #happybirthday #georgeclooney
12:52 PM - 6 May 2015|It's National Condom Day in Japan! Thank g*d I have my condom hat so I can celebrate! #weirdtokyo #notmakingthisup pic.twitter.com/x57KiMSSMU
9:20 PM - 5 May 2015|Happy Birthday to @shiralazar and @BartBaker !! #cincodeBS pic.twitter.com/ym8TwbiZil
2:40 PM - 4 May 2015|I'm trying to be sexy here-- keyword: trying #setlife pic.twitter.com/reyNvWiVLl
10:30 AM - 4 May 2015|My spirit animal and I are ready to take on the week #bringit @itsjslaw pic.twitter.com/mGu8twVrbw
5:20 PM - 3 May 2015|This is how excited I am to finally reveal our Super Secret Travel TV Show to all of you! #comingsoon pic.twitter.com/9BMIZPqWPz
3:15 PM - 2 May 2015|Hot dogs or hot legs? pic.twitter.com/gVHx6mNIkk
12:45 PM - 2 May 2015|Beach or pool?
8:19 AM - 2 May 2015|IT'S A GIRL!!!! Congrats Wills & Kate! Can't wait to see this bundle of joy! #RoyalBaby 
3:55 PM - 1 May 2015|My PA has this screenshot of me on her desktop- should I be proud or scared? pic.twitter.com/UXHgf6qFZX
11:35 AM - 1 May 2015|Happy May Day (it's a real holiday, can't make this stuff up) pic.twitter.com/fEPPBEtdmP
6:50 PM - 30 Apr 2015|To all the people already in line to see @Avengers -- I salute you!! #imserious #iwant2beyou pic.twitter.com/gItcRE2SuY
12:50 PM - 30 Apr 2015|I don't do PSA's often, but when I do I speak the #truth... pic.twitter.com/B1obxXR8Wo
7:53 AM - 30 Apr 2015|I woke up like this. I swear. @TheQYOU @eveiveneGG pic.twitter.com/w4JqPows9f
10:03 PM - 29 Apr 2015|I'm loving the @how2travelers videos - @AndreaFeczko & @RachelRoams are not only expert travelers with great advice, they are hilarious! #TT
2:10 PM - 29 Apr 2015|Me on a Wednesday.. #tvhost @nathanbarnatt pic.twitter.com/QF2I5knSaB
7:23 PM - 28 Apr 2015|Anyone have hook ups for #Vegas hotel rates? #Travel #TravelTuesday #help
10:20 AM - 27 Apr 2015|Hey Holland! I'm with you on King's Day! #HonoraryDutch #Please @finalkid pic.twitter.com/J5hTjkENdH
1:20 PM - 26 Apr 2015|At least there is a bright side to the zombie apocalypse.. pic.twitter.com/vmN3NVPmMK
9:06 PM - 24 Apr 2015|Yep! This is happening! A man just disappeared into a balloon! #latravelamagazine pic.twitter.com/QCHunUHPqD
11:15 AM - 24 Apr 2015|How everyone feels today :P pic.twitter.com/DbLxSqzghZ
10:30 AM - 23 Apr 2015|Basically.. pic.twitter.com/bsOPmD0rSi
10:35 AM - 22 Apr 2015|Happy Earth Day #earthday #travel #beach #gorgeous pic.twitter.com/vraXVRoJVM
