10:06 AM - 30 Nov 2015|I believe the leading causes of alcoholism are holiday dinners with the relatives 
9:15 AM - 1 May 2015|Hey 20 year olds Stop coming up to me and telling me how awesome @MotleyCrue is I know this I was here for the first go around 
8:56 AM - 1 May 2015|Tomorrow is Kentucky Derby Spurs Clippers Pacquiao Mayweather and a full slate of MLB games Wonder if @BWWings will have cricket playing 
8:55 AM - 1 May 2015|2 shows tonight @Hilarities with the very funny @bobmarleycomedy Come check us out early or late 
1:27 PM - 30 Apr 2015|I find it ironically hilarious the woman that calls out all men for being lying and cheaters while using a picture of Marilyn Monroe 
1:24 PM - 30 Apr 2015|There are a lot of people that talk to themselves at the public library 
1:17 PM - 30 Apr 2015|If you tweet a picture of yourself eating a veggie burger you dont need any words with the picture My mind is already made up about you 
1:08 PM - 30 Apr 2015|I joined @twitter so I could stop hearing people talk about their political beliefs That plan didn't work out so well 
8:50 PM - 28 Apr 2015|I'm in Cleveland this week @Hilarities http www bmarley com 
12:18 PM - 30 Apr 2015|Ready for the week to start @Hilarities with the very funny @bobmarleycomedy Going to be a good time Thu fri and Saturday Come see us 
12:15 PM - 30 Apr 2015|I eat health food from a-z That's apples to Zingers 
6:59 AM - 29 Apr 2015|They say that mayweather pacquiao will be the biggest fight in boxing history I guess they forgot about Apollo creed and Ivan drago 
5:55 AM - 29 Apr 2015|Great week in Cleveland Saw two @Royals wins Got some autographs And Im headlining @Hilarities tonight Its like my own fantasy camp 
11:51 AM - 28 Apr 2015|Just saw @TheRealJGuts on street in Cleveland Wished him good luck Im sure he needed that coming from an unknown standup comic @Royals 
7:26 PM - 27 Apr 2015|Froze tonight at @Royals game but a 6-2 win I'm 1-1 on the season Go for 2 in a row tomorrow night 
5:26 AM - 27 Apr 2015|Going to my first @royals game of the year tonight Mid 40's and chance of rain Not exactly perfect weather but I'll be there 
7:32 AM - 25 Apr 2015|2 more chances to catch a great show @LaughingDerby with @bobzany and myself Don't miss out 
5:44 AM - 24 Apr 2015|If you want me to leave the planet a better place for the children then you need to make sure your kid isn't an asshole 
5:39 AM - 24 Apr 2015|Fun show last night @LaughingDerby with @bobzany Two more tonight and two Saturday Come out There is enough sarcasm for everyone 
5:55 AM - 21 Apr 2015|The mathematics of standup comedy the funnier you think a joke is at 3 AM it inversely sucks that much when you re-read it later that day 
10:04 AM - 20 Apr 2015|Working this Thu-Sat with @bobzany at @LaughingDerby Going to be a great week Come out 
10:01 AM - 20 Apr 2015|great week @ImprovKCMO with @davidalangrier Thanks to everybody that came out Great crowds and club and hotel and staff etc like always 
9:59 AM - 20 Apr 2015|They say Love means never having to say you're sorry That must mean my wife loves me a ton because I've never heard her say that 
9:58 AM - 20 Apr 2015|Just saw the show @NakedAndAfraid I'm pretty sure that if you drop me in the jungle I'm going to die whether or not I have jeans on 
9:14 AM - 28 Oct 2011|My Chiropratctor just asked me if I could stop using air quotes when I call himdoctor 
12:58 PM - 19 Apr 2015|I'm not saying I'm living in the past but I can still make a great mixtape 
11:35 AM - 18 Apr 2015|2 shows tonight with @davidalangrier at @ImprovKCMO Come check us out 
11:02 AM - 18 Apr 2015|The Replacements was just on Ironic that the high point of Keanu Reeves career and the low point of Gene Hackman is in the same movie 
8:39 AM - 18 Apr 2015|Because of the rain I'm stuck in my hotel room watching TV Luckily I had already planned to stay in my hotel room and watch TV all day 
5:26 AM - 17 Apr 2015|It's hilarious to me when celebrities post a photo of just a quiet moment at home Really Who took the picture 
5:24 AM - 17 Apr 2015|I'm broke And have around 5 100 followers @KimKardashian is wealthy has over 31 million Guess what I'm still better 
4:09 AM - 17 Apr 2015|Dude is trying to sell me 10000 followers for 39 95 He only has 950 followers I asked him if he needed to borrow 39 95 
5:10 AM - 17 Apr 2015|The problem isn't I got up on the wrong side of the bed the problem is that I had to get out of bed 
8:29 PM - 16 Apr 2015|Fun show tonight with @davidalangrier at @ImprovKCMO Check us out this week 5 shows left 
5:33 AM - 15 Apr 2015|On hands knees trying to find my glasses I thought were on the floor only to find they are already on my face Wednesday you're ahead 1-0 
7:23 PM - 14 Apr 2015|If @julliard Julliard School had a section for the plastic recorders you got in 4th grade I would have been a prodigy 
5:46 AM - 14 Apr 2015|Thank God teenage girls give kids with minimal talent careers #Guess1DFifthAlbumTitle 
5:32 AM - 14 Apr 2015|They have developed a word for the annoying mouthy overly dramatic too emotional14 yr old girls They call them 14 year old girls 
5:30 AM - 14 Apr 2015|When I say you can't do something that you think you can why do I have to hide and watch I just can't stay where I am 
5:24 AM - 14 Apr 2015|I like the people on Twitter that are too tired to move and to prove that point tweet about and pose for a picture to show us 
11:02 PM - 22 Apr 2014|So I just let it go said no woman ever 
8:11 PM - 13 Apr 2015|An all nighterused to mean something exciting and dangerous Now it means I'm sick and stare at the clock all night 
11:35 AM - 13 Apr 2015|I will get out of bed early at a hotel to eat the same breakfast I could but don't fix for myself every day at home 
11:31 AM - 13 Apr 2015|Working this week @improvkc with @davidalangrier Come out Thursday-Sunday Going to be a fun week 
9:39 AM - 8 Apr 2015|I feel sorry for @ForeignerMusic In the age of iPods smart phones and streaming music they are still trying to be heroes on the jukebox 
5:44 AM - 6 Apr 2015|Ready for #OpeningDay again Our 3rd one together @Royals @MLB pic twitter com 4uI8IvDnzY 
4:53 AM - 6 Apr 2015|My recent tweets referenced @OfficialSkidRow semisonic karate kid twice I need my Big Chief notebook to write some current references 
4:46 AM - 6 Apr 2015|Study shows that baseball shoulder injuries have increased since 2005 That is the year Pat Morita died Not a coincidence 
8:58 AM - 4 Apr 2015|I was listening to Skid Row while I was drying dishes Yes I know I'm a badass 
7:46 AM - 3 Apr 2015|Surprisingly telling your wife that you'd kidnap her and keep her so no one else could find her isn't as romantic as I thought it would be 
10:13 AM - 2 Apr 2015|I'm going to start boycotting @McDonalds and @tacobell Not because of their political or religious belief but because their food sucks 
8:15 AM - 2 Apr 2015|How are we supposed to get together on religion and politics when America can't even agree on the correct spelling of gray grey 
6:58 PM - 1 Apr 2015|Just because the weather is warm enough for you to wear fewer and more revealing clothing doesn't mean you should 
12:04 PM - 1 Apr 2015|If you are going to Hell does it really matter the type of basket that you're in 
6:17 PM - 31 Mar 2015|Semi sonic is still singing about closing time It's been 17 years I think they're alcoholics 
11:11 AM - 31 Mar 2015|It would be really interesting to read about the Breaking News of Will Smith's death if it hadn't been breaking news a month ago also 
5:54 AM - 31 Mar 2015|I'm going to open a drinking establishment for people with back problems I'm going to call it the Lum-bar 
5:49 AM - 31 Mar 2015|I had a car wreck while I was reading the don't text and drive sign 
5:42 AM - 31 Mar 2015|Hospital is looking to expand but it needs enough sick people to justify the long and lengthy process They appreciate your patients 
5:34 AM - 31 Mar 2015|My Twitter following is at 5150 Van Halen @VanHalen must be proud 
11:38 PM - 28 Mar 2015|I wrote this poem about Al Gore being sexually androgynous I decided to call it Allegory 
8:31 PM - 24 Mar 2015|Van Halen has brought back David Lee Roth more times than McDonald's has brought back the McRib 
8:33 AM - 28 Mar 2015|Maybe the way you are behaving isn't because you're a Virgo or any other astrological sign Maybe you're just an asshole 
9:37 AM - 9 Nov 2014|You should never keep score in a relationship and that's the THIRD time I had to tell you that Women 
8:48 AM - 27 Mar 2015|Nasa has admitted that Pluto should have never been considered a planet Also they said that David Hasselhoff never should have been a star 
8:42 AM - 27 Mar 2015|Haven't been on here in a few days and have no notifications @twitter is like my answering machine when I was in college 
8:41 AM - 27 Mar 2015|Nothing makes me look feel like an old man than when I pull my wallet out of my front jeans pocket in the grocery store 
9:15 AM - 24 Mar 2015|Come see me this week @DenverImprov @ImprovDenver Get in touch with me I might be able to get you tickets 
5:59 AM - 21 Mar 2015|No one wants to see pics of as you say your sexy kitty And I mean that in the most nonsexual way possible Quit showing us your damn cat 
5:32 AM - 21 Mar 2015|I think experts that pick winners in ncaa tournament should also be weathermen Nobody expects either of them to be correct 
9:31 AM - 19 Mar 2015|My wife and I have a conflict of interest when she has on a Lifetime movie There is a conflict because I have no interest 
7:02 AM - 18 Mar 2015|It's Wednesday Or as I call it Fill out 25 different Brackets-day 
6:43 AM - 18 Mar 2015|Obama picked Kentucky to win the national championship He might finally get something right 
6:10 AM - 18 Mar 2015|I have people that quit following what I say everyday Not on Twitter but in everyday life 
6:08 AM - 18 Mar 2015|People tweet to me in a language I'm not familiar with It's called grammatically correct English 
11:10 AM - 17 Mar 2015|Definition of Irony Finding the one show that there is no chance that I would ever watch and call it The View 
11:04 AM - 17 Mar 2015|I need to hire an interim life coach 
5:11 AM - 17 Mar 2015|I don't wear green specifically on this day just so I can count how many people tell me that I'm not wearing green My record is 48 
4:33 PM - 16 Mar 2015|Is 32 views on @YouTube considered going viral 
4:19 PM - 16 Mar 2015|A goal for all golfers is to shoot their age I better live until I'm 112 
3:08 PM - 16 Mar 2015|Why are so many people asking me to retweet or favorite clothing choices They have obviously never seen the way I dress 
10:35 AM - 16 Mar 2015|Within the next month we get @marchmadness Baseball #OpeningDay AND @TheMasters It's when God rewards people for being sports fans 
6:57 AM - 16 Mar 2015|Why is @Wendys asking me to follow them I have been friends with @Wendys long before Twitter 
6:22 AM - 16 Mar 2015|If we are the same age and I say tell you to sweep the leg and you have no idea what i'm talking about we will never be friends 
7:09 PM - 15 Mar 2015|Sometimes I go back and forth when I can't decide about my uncertainty 
5:59 PM - 15 Mar 2015|Just heard someone say make your life a poem I think 96 pct of the world could care less about me Now THAT is poetry 
5:58 PM - 15 Mar 2015|If sloppy is still hanging on that is impressive 
10:27 AM - 15 Mar 2015|If you play the lottery stop dreaming I'll prove this when I pick all 63 games of the tournament and win a billion dollars #MarchMadness 
6:55 PM - 13 Mar 2015|playing 21 questions with a vegan Me So what's your favorite color Vegan Im a vegan 
8:57 AM - 14 Mar 2015|In baseball you can't kill the clock You've got to give the other man his chance That's why this is the greatest game - Earl Weaver 
11:58 AM - 14 Mar 2015|@chadthornsberry I remember when you had 184 followers Oh the good old days 
11:39 AM - 14 Mar 2015|Chiefs re-sign Ron Parker Looking forward to watching tape librarians @SklarBrothers this season #kellyraprap 
6:15 AM - 14 Mar 2015|I type the letters t-a and my phone guesses Im trying to spell tablet It can't get February if I give it a f-e-b-r-u to start with 
6:12 AM - 14 Mar 2015|Just had somebody text me that they broke their New Years resolution Wait Were we still doing those Is it January 4th again 
2:28 PM - 13 Mar 2015|I found out my wife has been scooping ice cream with a melon baller I'm saving that tidbit for our next argument 
9:18 PM - 13 Mar 2015|I just checked my bank balance It doesn't look like I'll be around for Final Jeopardy 
5:35 PM - 13 Mar 2015|First grilling night of the year Only 15 mins and I can hear people complain about their hamburgers being over under cooked 
5:01 PM - 12 Mar 2015|When school is cancelled parents are more excited about the extra 30 mins of sleep than the kids are about having the whole day off 
4:57 PM - 12 Mar 2015|The keyboard player from 3 Dog Night died They say celebrities die in 3's So we still have 3 to go 
7:30 PM - 11 Mar 2015|@chadthornsberry My life was so much more fulfilling 5 years and HOLY SHIT 33k tweets ago 
7:31 PM - 11 Mar 2015|Scientists have discovered that we load the dishwasher incorrectly Married men have heard this for years 
7:29 PM - 11 Mar 2015|DONT GET ON TWITTER #GoodAdviceIn4Words 
3:51 PM - 9 Mar 2015|I just rinsed a pan for 8 minutes so I could put it in the dishwasher instead of washing it by hand 
7:35 PM - 9 Mar 2015|I'm behind on appreciating all these boy bands so who else is into Hanson 
7:30 PM - 9 Mar 2015|I'm so hungry that even bird flu sounds good right now 
7:21 PM - 9 Mar 2015|I've worn relaxed fit jeans for years They are called sweat pants 
6:13 PM - 9 Mar 2015|After watching Young and the Restless AND Judge Judy I told my wife I wasn't going to watch The Voice because it was a woman's show 
7:04 PM - 8 Mar 2015|After eating a 20 piece box of chicken McNuggets you can still taste how you should have studied harder and gone to a better college 
5:29 PM - 7 Mar 2015|I'm going to cheat on my wife tonight It with a girl name Wendy She makes Baconators 
11:31 AM - 6 Mar 2015|One month until Opening Day @Royals @MLB 
6:23 PM - 5 Mar 2015|Should I be offended that my wife has no interest in searching my phone trying to find anything 
8:52 AM - 5 Mar 2015|Just did some checking I think the movie The Wizard of Oz has a curse linked to it All the characters have since died 
8:52 AM - 5 Mar 2015|My wife spent last night watching The Voice Or as I call it @SportsCenter in the other room 
6:38 AM - 4 Mar 2015|Ironic my Last Resort is listening to Papa Roach 
2:38 PM - 2 Mar 2015|I just walked into a spiderweb Now I have to start screening my phone calls 
1:00 PM - 27 Feb 2015|@The_Jedi_Master @CosmossUp @chadthornsberry @technophoniks @SweetFelon @RancidClown @Putputtata @nicmurrell @jamesk1990 thx #ff back 
9:36 AM - 27 Feb 2015|If you constantly say this ain't my first rodeo and you ARENT involved in an actual rodeo Stop 
6:41 AM - 27 Feb 2015|If you're unemployed don't come up to me and say TGIF You should say TGI-you pay my bills day 
5:04 AM - 27 Feb 2015|I've decided I want to be able to bench press my weight That means I need to get down to about 102 5 lbs 
5:17 PM - 26 Feb 2015|I'm going to get a group of people to sign up for a list not allowing people to get signatures on petitions 
1:04 PM - 26 Feb 2015|I shot the Chief Constable but I did not shoot his Deputy Chief Superintendent #MakeASongBritish 
1:30 PM - 26 Feb 2015|Love in a Lift #MakeASongBritish 
12:01 PM - 26 Feb 2015|My twitter acct has been hacked Not sure what it means when the hacked tweets get more followers than my real ones 
9:01 AM - 25 Feb 2015|#PredictionsInThe90s The Cubs will win a world series soon It's been a long time 
8:42 AM - 25 Feb 2015|I have to get the dishes done by the time my wife gets home in 7 hours around 5 oclock That means i'm going to be doing them at 4 55 
8:21 AM - 25 Feb 2015|NYPD using the movie Road House to try and teach recruits how to be nice They have also learned how to talk in shitty dialogue 
7:57 AM - 23 Feb 2015|This generation has discovered the selfie stick My generation discovered AIDS Don't know what's worse 
6:30 AM - 23 Feb 2015|#Twitter math 6 new follower and my total goes down I think I must be on Bizarro twitter 
6:25 AM - 23 Feb 2015|I find it hilarious how upset people pretend they get when their movie didn't win They think they have a financial stake in it #Oscars 
6:24 AM - 23 Feb 2015|Watched #Oscars last night Not sure why my wife wanted to watch a show about movies we have neither one heard of but that's marriage 
1:02 PM - 22 Feb 2015|#tequila #tequilacabeza here is the shirt you need Get them at http chadthornsberry com pic twitter com sQbcvz9lGP 
12:09 PM - 22 Feb 2015|Get the new TEQUILA 101 shirts now at my website http chadthornsberry com pic twitter com izdMTXFP1L 
6:20 AM - 20 Feb 2015|The sun is rising at Surprise Stadium for the first day of Pitcher Catcher workouts #RoyalsST pic twitter com blsWInFLOV 
10:34 AM - 21 Feb 2015|I'm definitely more conscious of muggers now that I have 21 285 points on my Speedy Rewards card 
4:30 PM - 21 Feb 2015|Dear Wrigley You can call the large bag of Skittles Share Size all you want But we both know what's gonna happen here 
2:12 PM - 19 Feb 2015|I had not one but two extra pepperonis in my Lunchable today so not even the fact that I have to buy another car can bring me down today 
2:07 PM - 20 Feb 2015|Went to an Apple Inc karaoke event Sam sung 
2:00 PM - 21 Feb 2015|I swear the #weatherman said I DARE you to go outside instead of I recommend staying indoors #whiteout #itsjustsnow 
7:05 AM - 22 Feb 2015|Near 5 300 followers my best tweet last week got 1 retweet 3 favs So I know too little about Twitter or too much about math and ratios 
7:02 AM - 22 Feb 2015|I'm on the road and eat fast food people say yeah it's tough to eat healthy on the road when I'm home and do it people say he's a fatass 
6:46 AM - 22 Feb 2015|I was really interested in #TheOscars until I remembered there are 2 teams playing some type of game at some time somewhere on some channel 
5:23 PM - 21 Feb 2015|You don't have haters Really it's just people who noticed you are an asshole 
3:08 PM - 21 Feb 2015|If an #Oscars2015 category was Best Stallone film NOT involving Rocky or Rambo what would the winner be 
7:05 AM - 21 Feb 2015|Soy milk has pictures of missing cows 
10:59 AM - 21 Feb 2015|taking a selfie defense class 
5:21 AM - 19 Feb 2015|When it was cold I never pretended my breath was cigarettes Id smoke for real in July and pretend my exhaling was my breath in winter 
5:19 AM - 18 Feb 2015|My level of culture I don't want to go to any art exhibits or museums But I could watch video of the guy making faces on pancakes all day 
5:16 AM - 18 Feb 2015|Has anyone ever recorded a skateboard jump where it was completed successfully 
7:55 PM - 17 Feb 2015|I didn't go to law school but I have watched Law and Order since 1990 
7:40 PM - 17 Feb 2015|It's a good thing people live tweet sporting events since there is no such thing as a 24 hour sports network on TV 
11:41 AM - 17 Feb 2015|I bet if you're a man from Brussels and you're 6 foot 4 and full of muscles you are sick of people offering you vegamite 
5:18 AM - 17 Feb 2015|Nothing quite as pathetic yet awesome as a car load of grown men getting out bruised mad because a game of slug bug got WAY out of hand 
3:43 PM - 12 Feb 2015|I wish my neighbors dog was on a leash that is tied to a vehicle driving down the road 
3:09 PM - 12 Feb 2015|My wife said she didn't want anything for Valentine's Day Well I'm sure it will be ok if I don't get her anything right 
2:32 PM - 9 Feb 2015|Seeing @KateUpton does not make me want to play Game of War It just reminds me of the best reason NOT to be a gamer Actual live women 
4:50 AM - 9 Feb 2015|Asked a neighborhood kid if he wanted to hand wash my truck He said no I guess he doesn't want to learn karate 
6:10 PM - 8 Feb 2015|Did I already miss chumbawumba's performance #GRAMMYs 
7:47 PM - 7 Feb 2015|The Vapors have been thinking they are Turning Japanese since 1980 If it hasn't happened by now I don't think it's going to 
12:27 PM - 7 Feb 2015|So Fifty Shades of Grey AND Magic Mike 2 are both coming out Just like I've always heard men are such perverts 
12:18 PM - 7 Feb 2015|A collection of McDonalds happy meal toys don't belong in an Antiques store I don't care if they are in their original package 
12:12 PM - 7 Feb 2015|Just because Brian Williams said he decided to throw the ball instead of handing it off to Marshawn Lynch is it that big of a deal 
11:35 AM - 7 Feb 2015|Want to quit following me but don't want to block me Put a picture of your cat on twitter and refer to it as your baby I'll do the rest 
6:21 AM - 7 Feb 2015|They key to getting a woman to marry you is a high level of maturity Also when my wife said yes I screamed NO TAKE BACKS 
5:40 PM - 6 Feb 2015|I'll eat Chex Mix for a snack If the mix part means I can mix it with Doritos 
5:05 PM - 6 Feb 2015|Got asked if had my wife a valentines present yet Is it 5 o'clock on feb 14th already 
4:27 PM - 5 Feb 2015|Anybody else noticed how school violence has increased since we took the junk food out of the vending machines 
8:58 PM - 28 Dec 2014|Keep in mind that The Cat in the Hat is a lesson to your kids on how to throw a house party when you're gone 
10:57 AM - 4 Feb 2015|Im the guy sprinting room to room 4 mins before everyone gets home cleaning up my mess to then gripe to kids about not picking up their junk 
2:57 PM - 3 Feb 2015|I'm supposed to eat lightly every 3 hours So i'll be even if I can hold off until Saturday at 6 pm 
12:21 PM - 3 Feb 2015|I wish that people stopping telling me what was trending was trending 
12:14 PM - 3 Feb 2015|I was just blocked by 4 women on twitter They think that bothers me I was ignored by women for 4 years of college 
8:00 AM - 1 Feb 2015|If you want to get a woman's opinion then just don't ask for it 
6:49 AM - 3 Feb 2015|You want to keep the bird you like in cage to enjoy it I want to keep a bird I like frying in a skillet so I can enjoy it Same thing 
6:05 PM - 10 Jan 2013|I'm opening up a restaurant called I Don't Care Where Do You Wanna Go 
3:46 PM - 2 Feb 2015|With all the people that follow me and then stop following me I've hit 5000 followers 3 different times today 
7:21 PM - 1 Feb 2015|I hope all the kids in Africa are excited to get their Seahawks Super Bowl Champions shirts and caps 
7:01 PM - 1 Feb 2015|The Seahawks ignored Marshawn Lynch like he ignored the media 
6:29 AM - 27 Jan 2015|I think I'm finally becoming more mature Now when I watch Spongebob I usually agree with Squidward 
8:09 AM - 1 Feb 2015|Here are my vegan recipes for the Super Bowl lil smokies wrapped in bacon and 2 fried chicken and 3 meat lovers pizza I'm not a vegan 
7:19 AM - 1 Feb 2015|People are very arrogant and lack self introspection If everybody would just try and be like me maybe they would realize that 
7:16 AM - 1 Feb 2015|Im impressed with you people that say you don't follow rules Im also impressed you tell about it in the 140 characters mandated by Twitter 
6:11 AM - 31 Jan 2015|If you say two shakes of a lambs tail to say how fast you'll get there I'm guessing you're at an age that you aren't moving that quick 
4:34 PM - 26 Jan 2015|You think today's music artists are tough The Everly brothers got banned in Philly just for mentioning they stayed out til 4 o'clock 
3:41 PM - 26 Jan 2015|Women that always take selfies with a silly face are too worried what people think of their real face 
5:39 PM - 25 Jan 2015|Makes me proud that #RoyalRumble has more tweet action than #MissUniverse pageant 
9:17 PM - 24 Jan 2015|My wife's comatose #Worst3WordPickUpLines 
9:17 PM - 24 Jan 2015|You look slutty #Worst3WordPickUpLines 
5:22 PM - 24 Jan 2015|What a grandparent does on a Saturday night pic twitter com R0ihimzNjE 
4:46 PM - 24 Jan 2015|I'm not a city boy Nor was I raised in south Detroit Therefore I don't need a train schedule 
2:09 PM - 24 Jan 2015|Any food that involves the word soy sucks That's not me saying that that is science 
2:07 PM - 24 Jan 2015|Just watched the end of Color of Money AND the beginning of Wax Museum That's two Vincents in the last 25 mins Nobody else can say that 
2:42 PM - 23 Jan 2015|Am I ever gonna do a Blackstreet tweet No diggity no doubt 
8:06 AM - 24 Jan 2015|I tried to throw a frat party because I went to the University of Phoenix 
4:31 AM - 23 Jan 2015|I really don't want to get all political here but I'm not so sure about this Rutherford B Hayes guy 
3:57 PM - 22 Jan 2015|I went to the doctor and I told him I had an addiction to one hit wonders from the 90's He looked at me an said How Bizarre 
5:53 AM - 31 Dec 2012|The kids from Porky's would be in their mid-70s now Just imagine the hijinks at that nursing home 
2:21 PM - 19 Jan 2015|Hit the treadmill twice today Well I say treadmill you say airport conveyer belt thing that you stand on in between terminals 
8:05 AM - 18 Jan 2015|I don't follow the NFL really closely but I can't wait for the jaguars raiders game today 
2:52 PM - 15 Jan 2015|If you got 99 problems but a bitch ain't one You're still having an awful day 
2:49 PM - 15 Jan 2015|Woman on tv that has been divorced 14 times Says she is the one that got away I think she's the one that is thrown away 
8:57 AM - 15 Jan 2015|If you favorite your own tweets you should be slapped 
5:36 PM - 12 Jan 2015|Never understood why it takes 8 college students AND 2 honorary captains to oversee a coin flip 
6:51 AM - 10 Jan 2015|There was dancing in Footloose I just remember the epic nail biting shoe hooked on the pedal tractor scene 
2:47 PM - 8 Oct 2014|100 of people who don't eat junk food die 
6:31 AM - 10 Jan 2015|A woman's sexiest physical trait is a sexy smile -said by 60 of women and 0 of men 
6:27 AM - 10 Jan 2015|I like when someone asks you ever seen it this cold Yes yesterday and I'm predicting tomorrow Its a new phenomenon they call winter 
3:28 PM - 9 Jan 2015|Watching Elvis documentary heard someone say you know its old when people are smoking inside I knew it was old when Elvis wasnt dead yet 
3:22 PM - 9 Jan 2015|The Silence of the Library #MakeAMovieSmarter 
8:22 AM - 9 Jan 2015|I wish the weekend would get over so Monday would hurry up and get here Said by nobody ever 
5:47 AM - 9 Jan 2015|Do young fat kids make their mom a macaroni and cheese necklace 
5:44 AM - 9 Jan 2015|Just looked up my first thing on Pinterest I guess it's 2011 and I'm a woman 
1:57 PM - 8 Jan 2015|My dentist got in fight with the construction guy working in the office next door It was tooth and nail 
12:07 PM - 8 Jan 2015|Apparently I joined a twitter cause for the impeachment arrest and re-election of Obama I didn't know I was that politically active 
6:19 PM - 13 Mar 2014|sorry sorry sorry reallysorry reallysorry sorry - remorse code 
8:30 AM - 8 Jan 2015|Everybody that participates gets a trophy I guess that applies to youth sports and not adult Favstar 
6:20 PM - 7 Jan 2015|Any word when Fanfest Caravan participants will be announced @Royals 
7:55 PM - 6 Jan 2015|I haven't heard does anybody have any opinions on Obama or Boehner 
7:29 PM - 5 Jan 2015|I'm going to legally change my last name to handicapped It will sound weird but I can park where I want 
7:04 PM - 5 Jan 2015|I never learned how to build a house a cards I have never needed that skill in real life Just like my experience with Algebra 
3:58 PM - 5 Jan 2015|I dress so poorly that I won an ugly sweater contest that I didn't enter 
3:02 AM - 5 Jan 2015|I would love to cut my cell phone bill in half but I don't own a chain saw or samurai sword 
7:33 AM - 4 Jan 2015|I've got into more fights over going to Baskin Robins and just ordering chocolate than I ever have over politics and religion 
7:09 AM - 4 Jan 2015|Today is a good day to stay in bed says everybody everyday in every type of weather 
8:08 PM - 3 Jan 2015|I think Point Break is hands down the all time best about bank robbing surfers 
11:16 AM - 3 Jan 2015|Does anybody wonder why the see what porn stars models female celebs look like without photoshop tweets are started by women Me either 
11:12 AM - 3 Jan 2015|I don't consider it a toolbox if a butter knife isn't in there 
10:44 AM - 3 Jan 2015|The hill behind our house is covered with ice I'm going to drive down it but then everybody will want to try It's a slippery slope 
10:42 AM - 3 Jan 2015|A movie about Manson and David Koresh would develop a cult following 
12:10 PM - 2 Jan 2015|Funny How Someone Had Mistaken Obama as a Valet When Half of Americans Mistook Him For a President 
9:58 AM - 2 Jan 2015|Pink Houses is the best song ever that mentions Bobbie Brooks slacks 
4:29 PM - 27 Jul 2013|At my funeral I want an all-Asian Journey tribute band to play Don't Stop Bereaving 
8:32 AM - 1 Jan 2015|Go ahead and give me that look as I walk past the gym eating a Snickers You'll be back on my side soon 
8:39 AM - 31 Dec 2014|2nd birthday and ready for opening day @Royals @TheRealHos35 pic twitter com wG7fB9I6Sc 
4:05 AM - 31 Dec 2014|I tap my drawings so hard and fast when I play pictionary it sounds like I'm operating a telegraph machine 
3:55 AM - 31 Dec 2014|Its getting close to my yearly why in the hell would all those people go to Times Square rant 
3:52 AM - 31 Dec 2014|I wish your New Years resolution was to stop telling me what your New Years Resolutions are 
3:27 AM - 31 Dec 2014|Jim Harbaugh signed for 5 million a year plus incentives He needs something else as an incentive other than 5 million bucks 
12:16 PM - 29 Dec 2014|Brad Metzler is searching for 911 Ground Zero flag White House cornerstone JFKs brain I understand his frustration I cant find my keys 
11:55 AM - 29 Dec 2014|You can refuse to say it write it or display it But your kids still know it's Christmas 
11:54 AM - 29 Dec 2014|I'm not going to start my New Years resolutions until February That way when I break them it will seem like I ruck to it longer 
10:05 AM - 29 Dec 2014|And just when I thought I was finished with holiday hell my wife starts watching new kids on the block where are they now 
7:53 AM - 17 Apr 2014|Jesus only had 12 followers and he wasn't screaming team follow back so calm down with all that shit 
4:50 AM - 15 Dec 2014|Great week @TampaImprov Always a good time Thanks to the staff at the club and most importantly to everybody that came out Awesome time 
9:08 AM - 14 Dec 2014|To the woman that just snapped at me and declared I'm a man-hater Yeah that feeling is pretty much mutual 
5:30 PM - 13 Dec 2014|I spend 90 of my time at the gym choosing the right song for my workout 
6:53 PM - 13 Dec 2014|You want an honest girlfriend Marry her Your wife won't lie about shit Even when you wish she would 
5:48 PM - 13 Dec 2014|Shopping at the mall today It's a good thing there isn't a store that sells hand grenades 
8:32 AM - 13 Dec 2014|Two more shows tonight @TampaImprov with the hilarious Dean Edwards 730 and 10 Come check them out 
5:06 PM - 12 Dec 2014|I bet with all his money Garth Brooks has a new class of friends 
4:57 PM - 12 Dec 2014|I think the Scotch tape company sells defective rolls of tape around Christmas just so people lose their minds 
11:10 AM - 9 Dec 2014|Im old enough that every time I hear the national anthem I think a baseball game is starting or the tv broadcast day is getting ready to end 
3:45 AM - 8 Dec 2014|They say you dress for the job you want It looks like I'm dressing to be unemployed 
3:43 AM - 8 Dec 2014|They say tweeting and retweeting is the best way to get followers on here It looks to me the best way is to show a lot of cleavage 
8:23 PM - 7 Dec 2014|You ever think that giving some people 140 characters is way too much freedom 
8:00 PM - 7 Dec 2014|I swear to God I want the #Oilers to win I do 
8:07 PM - 7 Dec 2014|Buying twitter followers is not like buying kids candy so they will hang out with you at recess It's much much worse 
7:35 AM - 7 Dec 2014|Abra- abracadabra I want to reach out and grab ya Steve Miller must have been a horrible magician 
7:33 AM - 7 Dec 2014|Had a 22 year old after my show walk by me give me a peace sign and say YOLO I was really hoping that she would trip-o down the stairs-o 
9:07 AM - 4 Dec 2014|Bloody hell is just like regular hell except it's in England 
7:11 AM - 7 Dec 2014|Just wanted to say thanks for everybody that came out to the shows this week @CrackersComedy Thanks Really fun time 
6:40 AM - 7 Dec 2014|@chadthornsberry you're no longer at 167 So proud of you 
6:16 AM - 7 Dec 2014|If I got a dollar for every follower I'd have enough to buy a used broken down Toyota Corolla 
