7:27 AM - 11 Nov 2015|Daredevils are those who ride their bikes on colony streets on a Diwali night 
11:49 AM - 20 Oct 2013|The Amazon rain forest has the second highest number of bizarre species that haven't yet been discovered The first of course is Twitter 
11:25 PM - 18 Oct 2013|Fuck first love It's the second one that matters Because it teaches you that you can love again despite all the crap you went through 
12:54 PM - 19 Oct 2013|Molten Gold Names do not matter pic twitter com W44F1bLXPO 
10:04 AM - 18 Oct 2013|If you're having float problems I feel bad for you son I got 99 0000001 problems but 9999 ain't 1 
5:04 AM - 17 Oct 2013|Do not let your tongue mention someones faults You are also full of faults and people have tongues too 
1:12 PM - 17 Nov 2012|I do not miss you I think of you They are different things 
9:43 AM - 17 Oct 2013|Which car does a doc drive during his post graduation years Haha Trick question A doc cannot afford a car until he's 40 
12:07 PM - 16 Oct 2013|Unhappiness is a page on Facebook telling you what Happiness is 
7:34 PM - 16 Oct 2013|The only thing worse than an early morning is an early morning with a shower 
1:13 AM - 16 Oct 2013|#IOnceDated a lady butcher She gave me the cold shoulder 
10:47 PM - 16 Feb 2013|If a Chain Smoker is not allowed to smoke for a Day he becomes Bechain Smoker 
12:31 AM - 14 Oct 2013|Mutton is happening 
8:10 PM - 12 Oct 2013|Guys check out my tan line pic twitter com 2Kxx79r1nm 
3:31 PM - 13 Oct 2013|Hello Shunte pachchen Last call for pushpanjali We mean it this time #pujo pic twitter com 8FN0DSdiex 
7:03 AM - 13 Oct 2013|Raise hands who've organised a rum leela at home 
4:05 PM - 28 Jul 2013|The one who hides his sorrow becomes a comedian the one who doesn't becomes a poet 
10:37 AM - 9 Oct 2012|In a GD we were asked to say a few words about 'Sex' so I said 'Ladies and Gentlemen it gives me great pleasure ' and sat down 
3:54 PM - 4 Oct 2013|always bring fresh flowers for a dying patient and be like LET'S SEE WHO DIES FIRST HAHA because that's classic flower humour 
7:09 AM - 9 Oct 2013|Asansol after a long time Strange feeling 
6:58 AM - 5 Oct 2013|He who loves more conceals more 
12:05 AM - 2 Oct 2013|A true Indian is he who'd want to get stone drunk on single malt 
5:01 AM - 2 Oct 2013|Spies are the anonymous functions of the real world 
6:33 AM - 2 Oct 2013|Watching Outsourced Its awesome Too bad to hear that it was cancelled 
6:59 AM - 25 Sep 2013|Stop crying about how unlucky you are that no girl dates you Any girl dating you would be way unluckier than that 
3:23 PM - 21 Sep 2013|YOU are on the VERY top of my to do list 
10:38 AM - 17 Sep 2013|Why would anyone hate the Nokia Lumia Heck man you can make and receive phone calls on those phones bruh 
10:25 AM - 9 Sep 2013|Asaram's only excitement in life nowadays is a thorough and deep examination by a team of doctors 
11:12 AM - 9 Sep 2013|Asaf Ud Daula built Bhool Bhulaiya to play hide and seek Bidhan Roy built Salt Lake 
7:58 AM - 8 Sep 2013|You know your life sucks when you start accepting people's candy crush requests @Laugh_Riot 
4:18 AM - 9 Sep 2013|Kuch Kuch Hota Hai doomed an entire generation of guys into friendzone who believed SRK when he said 'Pyar dosti hai' 
10:30 AM - 5 Sep 2013|The DHOOM series is basically about Uday Chopra's career graph in Bollywood H is silent 
11:15 PM - 4 Sep 2013|Bengal is where they vote 21 times a day on 13 different issues and yet can't decide on even one on them 
11:03 AM - 4 Sep 2013|Sunny Leone is the Bollywood herione who don't have to worry about her MMS SCANDALS p #sms @Laugh_Riot 
9:51 PM - 4 Sep 2013|An eventful Acquisition day in the Market Microsoft bought Nokia Verizon Bought Vodafone and I bought 1 Kg Onions - @Laugh_Riot 
1:42 AM - 5 Sep 2013|Thousands of hipster animals die every year because they hibernated before it was cool 
10:46 PM - 4 Sep 2013|@Laugh_Riot Man Forgive Me Father I've Sinned I Usually Read Dirty Jokes n View Pictures f Girls On My Mobile Priest Forward ur Sins To Me 
2:21 AM - 2 Sep 2013|A CA is only aware of your assets It's your doc who gets to handle them 
5:48 AM - 21 Aug 2013|I treat writing documentation the same way I treat doing side quests in RPGs I don't do it 
11:20 AM - 17 Aug 2013|I read an article that said if you drink every day you are an alcoholic Thank God I only drink at night 
11:43 AM - 14 Aug 2013|Wasting time is my superpower 
11:34 AM - 14 Aug 2013|67 Beautiful No Rupee don't get inspired 
9:07 AM - 13 Aug 2013|Just out from a birthday party 
11:26 AM - 12 Aug 2013|I am shaving myself for marriage 
10:44 AM - 12 Aug 2013|Extremely Frustrated 
4:46 AM - 12 Aug 2013|JSON Statham The driver of the internet superhighways 
11:03 AM - 11 Aug 2013|Among all cold drinks Bongs prefer only Tagorade 
11:33 AM - 11 Aug 2013|Q What do you call a person who is smarter than you A Bhai exam main mere aage beth jana 
12:18 PM - 1 Aug 2013|Hear me RoR - Twitter #ItIsOkayIfYouDontGetIt 
11:41 PM - 31 Jul 2013|Spellings are important because some girls end up liking their boyfriend's colon instead of his cologne 
1:23 AM - 30 Jul 2013|On a serious note Gandhiji is not smiling 
10:57 AM - 30 Jul 2013|An intern doc never allows his girlfriend to touch his car That's because 1 he doesn't have a girlfriend and 2 he doesn't have a car 
1:14 AM - 26 Jul 2013|The more you yearn the more the number of boyfriends she will have empirically deduced 
10:12 AM - 24 Jul 2013|Hey ladies face creams body lotions and makeup wears off eventually but intelligence doesn't 
10:39 AM - 23 Jul 2013|Platonic the relationship that you're supposed to have with 3 people in ur life gf's best friend neighbors wife your boss's secretary 
2:48 AM - 22 Jul 2013|I woke up this morning thinking is It a boy or girl Nothing to do with the #RoyalBaby though more to do with a cheap hooker in Thailand 
11:07 AM - 19 Jul 2013|I've seen a lot of things via Facebook This is quite possibly the best pic twitter com hB4cZ2CSou 
8:11 AM - 22 Jul 2013|What was in Marcellus Wallace's briefcase My guess bug free code 
8:11 PM - 29 Jun 2013|Railways has launched train ticket booking through SMS now IRCTC can hang your phones too @Laugh_Riot 
11:30 AM - 13 Jul 2013|Before the days of Twitter intellectually endowed women used to attract the attention of men by exposing their books 
7:23 AM - 17 Jul 2012|Ever tried stealing chappals from the mandir If you get caught and then run to save your ass that's #TempleRun for you in real life #Re 
1:08 PM - 9 Jul 2013|get 18 great e-books including mine for 25 http bundlehunt com ap_id codinghorror 
3:27 PM - 6 Jul 2013|Late night smoke in house Check 
10:55 AM - 5 Jul 2013|I've had entire relationships that started with a shared smoke So you can take your hate for smokers and shove it up your ass 
9:14 AM - 1 May 2013|The Japanese flag is recording everything 
8:13 AM - 3 Jul 2013|Great minds get drunk together forget what they did after 
9:29 AM - 28 Jun 2013|You will not make fun of names of places in #Kolkata like 'hatibagane hati nei' or 'boubajare bou nei' etc if you visit kadapara once 
4:53 AM - 28 Jun 2013|Writing three thousand words about how love cannot be expressed in words 
8:47 AM - 28 Jun 2013|Only when you start working do you realise the value of a Friday 
11:35 AM - 22 Jun 2013|A History of Origami - by Sivagami Swami 
2:02 PM - 21 Jun 2013|What a week Completely exhausted 
4:03 PM - 20 Jun 2013|An urban public park is a wonderful place to freely observe people plants and animals 
3:02 PM - 17 Jun 2013|I was telling the dog she was my #1 lady Wife objected Told her she was #0 and tried to explain how programmers start from 0 Didn't work 
8:40 AM - 15 Jun 2013|I love my country liquor 
4:37 AM - 12 Jun 2013|Shitcom - when you are watching Kyunki Sauce Bhi Kabhi Tomato Thi in toilet on your smartphone 
11:59 AM - 6 Jun 2013|I never divide prime numbers on the toilet I don't want to leave any floaters 
10:24 AM - 4 Jun 2013|If you're wearing sunglasses at night there are 2 possibilities either you're SRK or trying to immitate SRK In both cases you're an idiot 
4:10 AM - 4 Jun 2013|India sends first astronaut to the moon He writes Roopesh loves Pooja on the surface and comes back #FutureNews 
10:44 AM - 3 Jun 2013|JBL might sell premium speakers and docks But for us bongs that acronym is dedicated to Joy Baba Loknath 
12:14 PM - 1 Jun 2013|Thinking you're all out of cigarettes and then finding one in your other shirt #unexpectedjoys 
1:10 PM - 1 Jun 2013|Everybody hates PDA until they start doing it 
11:57 AM - 22 Mar 2013|I don't get why Uranus is NSFW pic twitter com ifNWHmvYvs 
3:44 AM - 1 Jun 2013|#FF @schmmuck Hey girls Do you know one thing you'll never be Forever 21 
1:31 PM - 30 May 2013|It doesn't matter that I don't know anything about human history all that matters is I know everything about your Internet history 
1:32 PM - 30 May 2013|Not caring is an art It requires immense confidence Unshakable faith in something or someone Faith that you're in the right 
5:34 AM - 8 May 2013|Your mama's so FAT she can't save files bigger than 4GB 
1:05 AM - 18 May 2013|Naming my kid 'Joy' and telling him to go here and there Spreading joy ' 
11:04 AM - 23 May 2013|Life is just death procrastinating 
12:08 PM - 23 May 2013|When God closes a door we opens a bottle of whisky 
1:19 AM - 23 May 2013|Best way to kill the spirit of a child during summers is to remind him about his holiday homework 
8:13 AM - 21 May 2013|The box doesn't much care what you're out there thinking about 
9:26 AM - 20 May 2013|Spent the evening getting rid of ants inside my laptop 
12:47 AM - 20 May 2013|Love you love you oh my paglu 
9:54 PM - 19 May 2013|Being a smoker whenever I'm at a relative's birthday party asked to light the candles I make it a point to use at least 4-5 matches 
10:57 AM - 4 Dec 2012|Womens Aww explained - Aww head right tilt - cute Aww left tilt - sad Aww hug - I miss u too Aww cheek pull - FRIENDZONED 
9:21 AM - 19 May 2013|Its more important to listen than to speak 
9:16 AM - 19 May 2013|It takes money to make money 
8:42 AM - 15 Dec 2012|Men like Women's Bodies Women like Men's Brains and they Both end up Fucking what they Like 
9:10 AM - 19 May 2013|Looking foward to the end of semesters Lots of work to do 
7:39 AM - 19 May 2013|Still looking for that one girl who loves whisky 
6:07 AM - 19 May 2013|And again the price of my favourite cigarette raised Arrrgh 
1:59 AM - 18 May 2013|Why the hate against @VodafoneIN Long time customer No issues 
9:25 PM - 17 May 2013|Stoners live in joint families 
11:22 PM - 17 May 2013|Deactivated facebook Lets see how this works out 
2:03 AM - 16 May 2013|How can you tell if a man is a Male Chauvinist Pig He thinks 'harass' is two words @Laugh_Riot 
10:24 PM - 27 Apr 2013|You know you should go back to sleep when you wake up to My Chemical Romance looping on the brain 
11:41 PM - 13 Apr 2013|I don't like nice guys They leave me for nicer girls 
4:49 PM - 6 Apr 2013|Chuck Norris was born May 6 1945 The Nazis surrendered May 7 1945 Coincidence I think not 
9:49 AM - 3 Apr 2013|If Siri is on her period she will need an iPad 
10:26 AM - 29 Mar 2013|Yo 'Sapiosexual' people ever masturbated looking at those All India Toppers' photos outside JEE CAT coaching institutes LOLOLOLOL 
9:39 AM - 29 Mar 2013|Killing one stone with two birds A really awful 'Angry birds' player 
10:00 AM - 29 Mar 2013|What do you called a sketch of Mr Bashique Visual Bashique of course 
12:12 AM - 4 Mar 2013|New phone 
1:07 AM - 8 Feb 2013|@Laugh_Riot Sporting a moustache is the new fashion statement nowadays more more girls are opting for that look 
8:33 AM - 9 Feb 2013|A moment of silence for all the guys who thought they were the only ones to think of buying chocolate flavoured condoms today 
9:00 AM - 9 Feb 2013|Human stupidity is like entropy keeps on increasing 
2:43 AM - 5 Feb 2013|If she owns more books than shoes she's worth keeping 
1:15 AM - 3 Feb 2013|If someone tells you that had a crush on you back in high school usually they still have a crush on you 
2:00 AM - 3 Feb 2013|Interestingly I have never seen a donkey urinating on a wall 
9:42 AM - 28 Jan 2013|The role of the infinitely small is infinitely large -- Louis Pasteur 
9:31 AM - 1 Feb 2013|I'd support a bill for mandatory background checks for sales of C compilers 
8:42 PM - 26 Jan 2013|Be as loyal to your girl as you are to your paan wala 
8:47 PM - 26 Jan 2013|Just shut up already If you were really fat and ugly you wouldn't have uploaded your pic 
7:22 PM - 26 Jan 2013|RT if you think we need a Mass Effect movie instead of more Star Wars and Star Trek 
2:50 AM - 26 Jan 2013|I bet that in a couple of years our mobile phones will be boarding pass credit card movie ticket etc rolled into one 
9:47 AM - 16 Jan 2013|'Rachel How do you expect me to grow if I don't get to blow ' FRIENDS makes my dayy D 
7:15 AM - 16 Jan 2013|You can pretend we are strangers but I've seen you naked before 
1:32 PM - 12 Jan 2013|House is now wifi-ed 
11:38 AM - 11 Jan 2013|Redundant is when you wake up someone to wish them good night 
6:09 AM - 2 Jun 2012|There's nothing so horrible in life that a stiff drink or rough sex won't fix 
4:19 AM - 9 Jan 2013|If you are 20 and u find urself searching for the 'appropriate' emoticon frm a list on whatsapp pause think Wtf are u doing with ur life 
5:33 AM - 9 Jan 2013|All it takes is the courage to pour the first mug of chilled water on yourself The bath which will follow is easy enough 
10:20 AM - 8 Jan 2013|Indians We pee on random walls and post shit on Facebook walls 
4:27 AM - 8 Jan 2013|Behind every successful Kanjeevaram there is no Maneka Gandhi 
5:41 AM - 8 Jan 2013|Age is a very high price to pay for maturity 
3:51 AM - 8 Jan 2013|A new start 
10:39 AM - 7 Jan 2013|College from tomorrow 
11:37 PM - 6 Jan 2013|72 GPU cores to play 7 games 
5:10 PM - 4 Jan 2013|Well this hits home http twitpic com bsjc7q 
4:38 PM - 4 Jan 2013|'These pretzels are making me thirsty' re-run 
10:59 AM - 4 Jan 2013|Old monk Any number of clothes you'll wear this winter 
5:43 AM - 4 Jan 2013|Delhi me temp bhale 0 C ho jaye you can always spot a girl in a backless dress yelling at her BF for not bringing his car to pick her up 
1:38 PM - 3 Jan 2013|This makes so much of sense pic twitter com Yalo3tfo 
11:33 PM - 1 Oct 2012|The secret ingredient of Maggi is your hunger 
8:51 AM - 2 Jan 2013|Mothers all want their sons to grow up to be president but they don't want them to become politicians in the process -JFK 
7:49 AM - 2 Jan 2013|I belong to a family who is neither interested in Balika Vadhu nor Bigg Boss Hell yeah 
2:06 AM - 18 Dec 2012|BUT WE WERE ON A BREAK If you do not remember this you were born in the wrong era 
2:23 AM - 29 Dec 2012|People blaming parents should realize that they too shall be parents one day 
1:09 AM - 29 Dec 2012|Esplanade is filled with the mixed aroma of burnt diesel and kebabs 
12:15 AM - 27 Dec 2012|Disco reminds me of leopard print clothing and shiny pointed white shoes Also Samantha fox 
12:27 AM - 27 Dec 2012|It is raining outside It is raining inside My heart Critique - there is a hole in your head 
12:47 AM - 26 Dec 2012|@Laugh_Riot Dear family just because I'm laughing when I'm reading a text does not mean I'm flirting with someone 
10:55 AM - 24 Dec 2012|Kept the socks out for Santa Will probably find him unconscious tomorrow morning 
9:15 AM - 24 Dec 2012|Attractive Girls roaming with Santa cap on #CampusUpdate #TheekHai 
12:22 AM - 24 Dec 2012|If having daughters made you automatically sensitive about rape incidents then having a penis should make you a rapist-sympathiser too 
11:23 PM - 23 Dec 2012|All you have to do is get comfortable with Unix Terminal with its commands its all bliss then you can't go back 
1:32 PM - 22 Dec 2012|I like animals They taste better #kbai 
7:08 PM - 9 Jan 2012|I have 7 feelings Whiskey bourbon scotch gin tequila hate and fuck you 
11:45 PM - 21 Dec 2012|I don t use the Mayan calendar I use the Garfield desk calendar Its very accurate According to it every Monday is the end of the world 
11:01 AM - 21 Dec 2012|Are you a speaker or a listener 
3:45 AM - 21 Dec 2012|So two atoms of Helium were acting all funny Because HeHe 
8:55 AM - 21 Dec 2012|The world didn't end Gujarat didn't secede from India Sachin didn't retire Nothing changed and people say Twitter has influence 
7:19 AM - 21 Dec 2012|Stacy's Mom FTW 
7:56 PM - 20 Dec 2012|All apps on my phone are crashing today Appcalypse 
9:45 AM - 20 Dec 2012|There are friends you meet over coffee and then there are friends you meet over drinks Don't mix the two 
8:22 AM - 20 Dec 2012|Being friendzoned means you help them with the small stuff so they depend on you then you leave them to die in a zombie apocalypse Right 
8:41 AM - 20 Dec 2012|The snake-charmer recognizes the serpent's sneeze #banglaproverbs 
11:02 PM - 19 Dec 2012|I love thumping thumping I'm a Horny bunny Keep on humping humping I'm a horny bunny Thokuuu thokuuu 
10:27 AM - 6 Oct 2012|If you love somebody let them go if they come back no one wanted them 
8:58 PM - 19 Dec 2012|Stand up for what you believe in no matter how many stares people give you Like ordering a McEgg 
9:11 PM - 19 Dec 2012|Dear Mayans Can u please make up your mind and let us know your Final decision Else I'm buying tickets for Dabaang 2 
10:37 AM - 19 Dec 2012|We may be humans but we are still animals - For the love of God Steve Vai 
10:30 AM - 19 Dec 2012|Twitter anonymity is as close as I will get to being Batman 
8:29 AM - 19 Dec 2012|Went to the Republic Of Chicken the chickens there showed me the white flag asking for peace 
8:05 AM - 19 Dec 2012|The day is not far when people will tell She was raped because she was good looking 
6:43 AM - 19 Dec 2012|Sexual innuendo is the componendo of the dividendo of the sexes 
7:03 AM - 19 Dec 2012|I burnt a DVD I think it is dead now DVDRip 
1:14 AM - 19 Dec 2012|U think Hanging Prevents Rape Dhananjay Chatterjee was Hanged to death for Rape in 2004 Rape Cases increased from 18233 to 18359 in 2005 
12:48 AM - 19 Dec 2012|Atta boy - The only superhero expression made out of wheat 
6:42 PM - 18 Dec 2012|Yeshwant kanitkar should be awarded Bharat ratna All the techies say Aye 
7:23 PM - 18 Dec 2012|You are not what you tweet you are what you don't tweet because of embarrassment 
8:00 PM - 18 Dec 2012|I'm not saying shes fat I'm just saying if I had to pick five of the fattest people i know She'd be three of them 
9:49 PM - 18 Dec 2012|Side 1 Friends think you ignoring them because you in a relationship Side 2 Friends themselves avoid talking because you're in a relation 
10:00 PM - 18 Dec 2012|Carrying phones in your pockets is dangerous It can cause cancer Also doesn't leave any space for cigarettes pack 
10:21 PM - 18 Dec 2012|Sex is like a pun Some people get it some don't 
10:29 AM - 18 Dec 2012|First time I heard Rani Mukherjee I thought she was speaking in front of a table fan 
8:49 AM - 18 Dec 2012|PornStar Drunk on Tits and High on Pussy 
8:38 AM - 18 Dec 2012|BREAKING Walking alone at night woman feels safe as she spots an Alien http www fakingnews com 2012 12 walking-alone-at-night-woman-feels-safe-as-she-spots-an-alien 
8:31 AM - 18 Dec 2012|The only skill I have is to wish people Happy Birthday on Facebook 
5:42 AM - 15 Dec 2012|Nahin Saamne has to be the best AR Rahman song ever 
1:39 AM - 15 Dec 2012|Feluda never disappoints 
9:56 AM - 11 Dec 2012|You're strongest when you've nothing to lose It's good to be scared because then you've something to lose Mofo decide and then quote 
6:45 AM - 11 Dec 2012|I desire a lady who can enjoy a cup of chai at a roadside shack the same way she enjoys a peg of scotch at a classic pub 
7:55 AM - 11 Dec 2012|Twitter is like the boarding area at an Airport evryone has this inherent curiosity abt the relative monetary worth of the other guy 
7:55 AM - 11 Dec 2012|No purer love on this planet than the love for high speed internet 
8:43 PM - 10 Dec 2012|Narendra Modi s speeches are full of Modivational quotes 
9:20 AM - 9 Dec 2012|Asian gangs also known as study groups 
12:25 AM - 9 Dec 2012|Nice Read http www quora com Why-are-nice-guys-friendzoned 
8:59 AM - 8 Dec 2012|Its fun conducting experiments on people 
8:45 AM - 8 Dec 2012|RIP John Lennon As long as Pritam is Alive in India Your Re Mixed Music will always be played in all Auto Rickshaw's and Taxis 
8:52 AM - 8 Dec 2012|There is nothing 'royal' in Royal stag 
8:21 AM - 8 Dec 2012|A first time author who dedicated his book to his son named Niket Started his book with 'For Niket' and realized later 
8:17 AM - 8 Dec 2012|Sometimes you have to be a real cunt to get noticed 
3:21 AM - 8 Dec 2012|Actually Mayans were talking abt the Indian Test Cricket 
5:29 AM - 8 Dec 2012|What a relationship and unending phone calls does to your sleep cycle sitcoms do the same to mine 
9:32 AM - 6 Dec 2012|Are Santa's helpers subordinate clauses 
8:40 AM - 6 Dec 2012|The thing that McCarthy's Lisp and Pink Floyd's Dark Side of the Moon have in common is that every generation discovers them anew 
1:41 AM - 6 Dec 2012|It's never 'what' It's always 'who' RT @TheBigDowg Sudden increase in follower count What did I do now 
12:55 AM - 6 Dec 2012|@Laugh_Riot If you love someone set them fee If they don t come back call them up later when you re drunk hehe D 
9:17 PM - 5 Dec 2012|Early to bed early to rise and your girlfriend goes out with other guys @Laugh_Riot 
1:32 AM - 6 Dec 2012|Nitin Gadkari sends emails to other members of BJP using Lotus Notes 
1:15 AM - 6 Dec 2012|Degree Kaapi and The Adventure of the Post-Graduate Akka 
1:10 AM - 6 Dec 2012|Waiting for Arvind Kejriwal to expose the Nexus between LG and Google Android 
1:00 AM - 5 Dec 2012|2 batsmen on the crease One of them is the guy who ppl thought will quit the game but came back strongly and the other is Yuvraj Singh 
8:31 PM - 3 Dec 2012|Our problem with Kejriwal is that he is trying to do what we all have already declared impossible while sipping tea and reading newspaper 
2:15 AM - 3 Dec 2012|Smoke and alcohol have connected more people than Nokia 
11:27 PM - 2 Dec 2012|Harry Potter can kiss my ass 
11:05 PM - 2 Dec 2012|Behenchod exams 
8:05 PM - 2 Dec 2012|People outraging about IIT preparation are the same ones who watch Junior masterchef and don't get the irony 
4:50 AM - 2 Dec 2012|If given a chance I can spend my entire life without taking a bath 
1:46 AM - 2 Dec 2012|All those who send a 6th grader to IIT coaching classes also order the latest version of the Dowry Calculator 
4:32 AM - 2 Dec 2012|BTW found this in a bus today morning #Bangla pic twitter com s96PyEyL 
10:35 PM - 29 Nov 2012|Love is a Slash solo 
5:57 AM - 25 Nov 2012|Shockingly accurate @aneeshb So basically the new Samsung Note II ad tells you never to be shot by a Samsung user on your birthday 
6:25 AM - 25 Nov 2012|A televised debate on legalisation of drugs is called Weed The People 
5:36 AM - 25 Nov 2012|No ad can beat Vicco Vajradanti I still know it by heart with the tune 
11:11 AM - 24 Nov 2012|Every autobiography is a lie -Unknown 
7:59 AM - 24 Nov 2012|Treat me like your last cigarette ever 
12:25 AM - 22 Nov 2012|Exams begin tomorrow 
8:09 AM - 20 Nov 2012|One boob in hand is better than two in the bra #IndecentProverbs #sorry 
8:20 AM - 20 Nov 2012|Good part about Engg is how whenever you're in a tough situation totally unprepared you can think about the Engg vivas everything's ok 
9:17 AM - 20 Nov 2012|Sneaking away from father for a quick smoke never gets old 
6:06 AM - 15 Nov 2012|I dont have a problem with female idiots I have a problem with the fact they have an internet connection 
3:45 AM - 13 Nov 2012|Going by people's responses to Jab Tak Hai Jaan and Son of Sardaar it seem the best release this Diwali was by Rakhi Sawant 
6:47 AM - 14 Nov 2012|Skinny girls run the world because fat girls don't run 
5:39 AM - 14 Nov 2012|People who are praising Jab Tak Hai Jaan were the ones thrashing Student Of The Year for being nonsensical 
4:40 AM - 14 Nov 2012|#WhenIWasAKid I wanted to be a Mario finding a Princess in the castle Life gave me enough obstacles I ended up dating the dragon my ex 
4:18 AM - 14 Nov 2012|So this world has survived Jab Tak Hai Jaan Son Of Sardar But will it survive Dabangg 2 I don't think so 47 days to go for Apocalypse 
5:35 AM - 12 Nov 2012|Q Define SRK - 1 mark Ans A guy who does 'Titanic pose' again and again without Titanic and without Kate Winslet 
11:15 PM - 13 Nov 2012|It's high time India gets a festival where you are allowed to sleep late can skip bath and not visit relatives and still earn money No 
11:13 PM - 13 Nov 2012|It's amazing how people who want to relive their childhood days are skipping the bed wetting part 
6:13 AM - 6 Nov 2012|A leak in a water tank is a Sintex error 
2:21 PM - 5 Nov 2012|To hell with inspiration To hell with it 
1:05 PM - 5 Nov 2012|Food will keep us alive #Sorry 
1:03 PM - 5 Nov 2012|Issh ma go 
8:52 AM - 5 Nov 2012|This is it @UberFacts Laziness and inactivity kills just as many people as smoking 
1:19 AM - 5 Nov 2012|Clearly many mental institutions have given internet access to its patients 
1:00 PM - 4 Nov 2012|Its very difficult to be random A pattern emerges most of the times 
8:19 PM - 3 Nov 2012|I will always have love in my heart but not always show it 
10:51 AM - 4 Nov 2012|The biggest lie you can ever tell is that you have it all figured out No one does And when you think you do life flips 
12:09 PM - 4 Nov 2012|Bowling for the first time It was awesome 
1:48 AM - 29 Jul 2012|A woman is known by the men she avoids 
4:06 AM - 3 Nov 2012|Neil Armstrong's first words on moon are well known His colleague Aldrin's first words were Beautiful beautiful magnificent desolation 
4:46 AM - 3 Nov 2012|Dear Mtv Even Our iPods have better music than u #justsaying 
3:04 PM - 2 Nov 2012|If only she would have loved me for being ME and not for being her moneytree 
12:30 AM - 3 Nov 2012|The only math I know is how to subtract alcohol from bottles That is all 
12:17 PM - 1 Nov 2012|Girls who participate in No Shave November will also participate in No D December 
10:08 AM - 1 Nov 2012|Adult Chaddi buddies 
8:43 AM - 1 Nov 2012|V for Vendetta Or as the GRE aspirants call it revising the word list that contains all the words beginning with 'V' 
8:39 AM - 1 Nov 2012|In West Bengal there are more statues of Rabindranath Tagore than people who can recite his poems 
7:11 AM - 1 Nov 2012|Presidential debate NO Oil War NO Recession NO Halloween NO Only thing I care about USA is Naughty America 
7:09 AM - 1 Nov 2012|Skyfall had been watched Some what good No WOW factor 
2:49 PM - 31 Oct 2012|Aashor bose che http instagr am p Rdlz7VAVoy 
2:27 PM - 31 Oct 2012|Woman 1 He is huge Woman 2 Kise Mone na dhone #BanglaCinema 
2:11 PM - 31 Oct 2012|Fastrack guide to women Give her chocolates buy her new shoes and tell her how good her hair looks 
1:50 PM - 31 Oct 2012|Best friend will do some stupid shit for pussy then the end 
1:47 PM - 31 Oct 2012|When did cats become rockstars 
1:31 PM - 31 Oct 2012|Moar pictures of beautiful girls 
9:04 AM - 31 Oct 2012|I don't say 'hello' because I don't want to risk another goodbye 
11:17 AM - 31 Oct 2012|I wonder what kind of parents we would be 
11:14 AM - 31 Oct 2012|10000 @wistyloony I don't know what I'm more proud of all the nicotine in my bloodstream or all the adipose tissues in my body 
11:08 AM - 31 Oct 2012|Jokes dont die They are not laughed at anymore 
11:06 AM - 31 Oct 2012|Modern Philosophy You kiss my ass I will kiss yours 
10:47 AM - 31 Oct 2012|Ass kissing is the most fundamental of human instincts 
10:41 AM - 31 Oct 2012|Why do they make a 60 minutes porn 
10:37 AM - 31 Oct 2012|Grey's Anatomy Really 
3:07 AM - 4 Mar 2011|Experience is knowing a lot of stuff you shouldn't be doing 
9:52 AM - 31 Oct 2012|Wonder what the 'offline' people are doing 
9:49 AM - 31 Oct 2012|Can weak men 'pick up' girls 
9:47 AM - 31 Oct 2012|Wedding to be missed because of exams Fuck you exams 
9:34 AM - 31 Oct 2012|Leftover Murki and Narkol Naru from Lokkhi Pujo What bliss - 
8:16 AM - 31 Oct 2012|Wine The lesson learnt with time 
8:49 AM - 31 Oct 2012|A Brilliant explanation of #SocialMedia pic twitter com uZVkW0eE 
8:30 AM - 31 Oct 2012|Q- Who wins when a girlfriend a boyfriend fight A- Archies Gallery 
9:01 AM - 31 Oct 2012|An apple a day keeps anyone away if you throw it hard enough 
9:13 AM - 31 Oct 2012|Books have been opened after a decade 
8:21 AM - 31 Oct 2012|Dear life untag me 
11:05 AM - 30 Oct 2012|Sending some random friend requests on facebook Wish me luck 
7:53 AM - 30 Oct 2012|Tough day at office is over Time to reward myself with few alur chops and beguniz 
11:57 PM - 28 Oct 2012|There is Farmville 2 
12:23 PM - 28 Oct 2012|To be a good speaker you have to be a good listener #wisdom 
9:00 PM - 27 Oct 2012|Money can't buy happiness But poverty can't buy anything 
8:19 AM - 27 Oct 2012|Yet to spot a contestant on KBC without any personal problems 
8:18 AM - 27 Oct 2012|Pictures are for pretty people only 
9:54 PM - 26 Oct 2012|The early morning cigarette Bliss 
9:43 AM - 26 Oct 2012|Someday I want to be rich enough to take an autoriksha back home without having to negotiate on the payable amount 
6:21 AM - 26 Oct 2012|New is the new old 
6:13 AM - 26 Oct 2012|Love is a hole Thats why people fall into it 
9:21 PM - 11 Oct 2012|Fact is people who know least of your story judge the most 
3:19 AM - 26 Oct 2012|I flirt on the first date 
1:58 AM - 26 Oct 2012|In love with Seinfeld 
1:58 AM - 26 Oct 2012|In love with Seinfield 
1:50 AM - 26 Oct 2012|A pair of jeans has more history than in a book 
1:45 AM - 26 Oct 2012|When God closes a door he opens a dress #madmen 
1:25 AM - 26 Oct 2012|Twitter the Only place where girls like to be followed #oldone 
1:10 AM - 26 Oct 2012|Thinking of writing a book Mod o Matal 
1:02 AM - 26 Oct 2012|Bulletproof heart 
1:00 AM - 26 Oct 2012|What shall you sell your soul for 
12:34 PM - 25 Oct 2012|Kids it all started with a Bhai usse intro karwa na 
12:44 PM - 25 Oct 2012|The world of Bongs revolve around Aasche bochor aabar hobe 
